 iter             Ux             Uy              p          omega              k
--------------------------------------------------------------------------------
   10     4.1125e-04     2.6249e-03     3.0371e-01     5.9466e-05     1.5936e-02
   50     7.8534e-05     1.0322e-03     1.9152e-01     1.0733e-05     6.4054e-04
  100     4.9151e-05     4.6249e-04     1.3383e-01     6.3375e-06     4.6823e-04
  250     5.4031e-05     2.5875e-04     2.1940e-02     2.4739e-06     1.3627e-04
  500     6.3251e-05     2.6085e-04     6.9257e-03     1.3318e-06     8.8886e-05
 1000     7.1455e-05     2.7747e-04     2.4735e-03     6.4552e-07     7.8606e-05
 1500     6.7613e-05     2.0612e-04     4.7402e-04     3.8803e-07     7.0769e-05
 2000     5.5368e-05     1.4598e-04     1.7978e-04     2.5635e-07     5.9966e-05
 2500     4.5386e-05     1.1264e-04     1.0231e-04     1.8119e-07     5.1999e-05
 3000     3.7331e-05     9.6604e-05     8.1885e-05     1.3440e-07     4.5503e-05
 3500     3.1042e-05     8.1122e-05     6.8528e-05     1.0328e-07     3.9982e-05
 4000     2.5971e-05     6.7147e-05     5.8287e-05     8.1354e-08     3.5230e-05
 4500     2.1820e-05     5.6009e-05     5.0528e-05     6.5276e-08     3.1086e-05
 5000     1.8387e-05     4.7109e-05     4.4079e-05     5.3109e-08     2.7431e-05
