y_L,u_OF,u_Ghia,delta_pct
1.0000,1.000000,1.00000,+0.00
0.9766,0.664174,0.65928,+0.74
0.9688,0.580587,0.57492,+0.99
0.9609,0.516647,0.51117,+1.07
0.9531,0.472021,0.46604,+1.28
0.8516,0.336597,0.33304,+1.07
0.7344,0.188377,0.18719,+0.63
0.6172,0.056914,0.05702,-0.19
0.5000,-0.061951,-0.06080,+1.89
0.4531,-0.108003,-0.10648,+1.43
0.2813,-0.280100,-0.27805,+0.74
0.1719,-0.387673,-0.38289,+1.25
0.1016,-0.299977,-0.29730,+0.90
0.0703,-0.222728,-0.22220,+0.24
0.0625,-0.202217,-0.20196,+0.13
0.0547,-0.181220,-0.18109,+0.07
0.0000,0.000000,0.00000,nan
