x_L,v_OF,v_Ghia,delta_pct
1.0000,0.000000,0.00000,nan
0.9688,-0.227765,-0.21388,+6.49
0.9609,-0.293424,-0.27669,+6.05
0.9531,-0.354917,-0.33714,+5.27
0.9453,-0.409831,-0.39188,+4.58
0.9063,-0.525335,-0.51550,+1.91
0.8594,-0.426052,-0.42665,-0.14
0.8047,-0.319856,-0.31966,+0.06
0.5000,0.025820,0.02526,+2.22
0.2344,0.325005,0.32235,+0.82
0.2266,0.333591,0.33075,+0.86
0.1563,0.376139,0.37095,+1.40
0.0938,0.332378,0.32627,+1.87
0.0781,0.309301,0.30353,+1.90
0.0703,0.295685,0.29012,+1.92
0.0625,0.280142,0.27485,+1.93
0.0000,0.000000,0.00000,nan
