x_m,p_kinematic_m2_s2
5.050000e-02,2.020294e-02
5.150000e-02,2.015798e-02
5.250000e-02,2.011301e-02
5.350000e-02,2.006805e-02
5.450000e-02,2.002309e-02
5.550000e-02,1.997812e-02
5.650000e-02,1.993316e-02
5.750000e-02,1.988820e-02
5.850000e-02,1.984324e-02
5.950000e-02,1.979828e-02
6.050000e-02,1.975331e-02
6.150000e-02,1.970835e-02
6.250000e-02,1.966339e-02
6.350000e-02,1.961844e-02
6.450000e-02,1.957348e-02
6.550000e-02,1.952852e-02
6.650000e-02,1.948356e-02
6.750000e-02,1.943860e-02
6.837031e-02,1.939947e-02
6.887031e-02,1.937700e-02
6.911982e-02,1.936578e-02
6.961982e-02,1.934330e-02
7.041146e-02,1.930771e-02
7.091146e-02,1.928523e-02
7.108181e-02,1.927757e-02
7.158181e-02,1.925510e-02
7.245261e-02,1.921595e-02
7.295261e-02,1.919347e-02
7.304379e-02,1.918937e-02
7.354379e-02,1.916689e-02
7.449375e-02,1.912419e-02
7.499375e-02,1.910171e-02
7.500577e-02,1.910117e-02
7.550577e-02,1.907869e-02
7.650000e-02,1.903400e-02
7.750000e-02,1.898904e-02
7.850000e-02,1.894409e-02
7.950000e-02,1.889913e-02
8.050000e-02,1.885418e-02
8.150000e-02,1.880923e-02
8.250000e-02,1.876427e-02
8.350000e-02,1.871932e-02
8.450000e-02,1.867437e-02
8.550000e-02,1.862942e-02
8.650000e-02,1.858446e-02
8.750000e-02,1.853951e-02
8.840696e-02,1.849874e-02
8.890696e-02,1.847627e-02
8.908596e-02,1.846822e-02
8.958596e-02,1.844575e-02
9.044811e-02,1.840699e-02
9.094811e-02,1.838452e-02
9.104795e-02,1.838003e-02
9.154795e-02,1.835755e-02
9.248926e-02,1.831524e-02
9.298926e-02,1.829276e-02
9.300993e-02,1.829183e-02
9.350993e-02,1.826936e-02
9.450000e-02,1.822486e-02
9.550000e-02,1.817991e-02
9.650000e-02,1.813496e-02
9.750000e-02,1.809001e-02
9.850000e-02,1.804506e-02
9.950000e-02,1.800011e-02
1.005000e-01,1.795516e-02
1.015000e-01,1.791021e-02
1.025000e-01,1.786526e-02
1.035000e-01,1.782031e-02
1.045000e-01,1.777536e-02
1.055000e-01,1.773041e-02
1.065000e-01,1.768546e-02
1.075000e-01,1.764052e-02
1.085000e-01,1.759557e-02
1.095000e-01,1.755062e-02
1.105000e-01,1.750567e-02
1.115000e-01,1.746072e-02
1.125000e-01,1.741578e-02
1.135000e-01,1.737083e-02
1.145000e-01,1.732588e-02
1.155000e-01,1.728093e-02
1.165000e-01,1.723599e-02
1.175000e-01,1.719104e-02
1.185000e-01,1.714609e-02
1.195000e-01,1.710114e-02
1.205000e-01,1.705620e-02
1.215000e-01,1.701125e-02
1.225000e-01,1.696630e-02
1.235000e-01,1.692136e-02
1.245000e-01,1.687641e-02
1.255000e-01,1.683146e-02
1.265000e-01,1.678652e-02
1.275000e-01,1.674157e-02
1.285000e-01,1.669662e-02
1.295000e-01,1.665168e-02
1.305000e-01,1.660673e-02
1.315000e-01,1.656179e-02
1.325000e-01,1.651684e-02
1.335000e-01,1.647189e-02
1.345000e-01,1.642695e-02
1.355000e-01,1.638200e-02
1.365000e-01,1.633706e-02
1.375000e-01,1.629211e-02
1.385000e-01,1.624717e-02
1.395000e-01,1.620222e-02
1.404356e-01,1.616017e-02
1.409356e-01,1.613770e-02
1.415000e-01,1.611233e-02
1.425000e-01,1.606738e-02
1.435000e-01,1.602244e-02
1.440648e-01,1.599706e-02
1.445648e-01,1.597458e-02
1.455000e-01,1.593255e-02
1.465000e-01,1.588760e-02
1.475000e-01,1.584266e-02
1.485000e-01,1.579771e-02
1.495000e-01,1.575277e-02
1.505000e-01,1.570782e-02
1.515000e-01,1.566288e-02
1.525000e-01,1.561793e-02
1.535000e-01,1.557299e-02
1.545000e-01,1.552804e-02
1.555000e-01,1.548310e-02
1.565000e-01,1.543815e-02
1.575000e-01,1.539321e-02
1.585000e-01,1.534826e-02
1.593059e-01,1.531204e-02
1.598059e-01,1.528957e-02
1.605000e-01,1.525837e-02
1.615000e-01,1.521343e-02
1.625000e-01,1.516849e-02
1.635000e-01,1.512354e-02
1.645000e-01,1.507860e-02
1.655000e-01,1.503365e-02
1.665000e-01,1.498871e-02
1.675000e-01,1.494376e-02
1.685000e-01,1.489882e-02
1.692166e-01,1.486661e-02
1.697166e-01,1.484414e-02
1.705000e-01,1.480893e-02
1.715000e-01,1.476399e-02
1.725000e-01,1.471904e-02
1.735000e-01,1.467410e-02
1.745000e-01,1.462915e-02
1.755000e-01,1.458421e-02
1.765000e-01,1.453926e-02
1.775000e-01,1.449432e-02
1.785000e-01,1.444938e-02
1.795000e-01,1.440443e-02
1.805000e-01,1.435949e-02
1.815000e-01,1.431454e-02
1.825000e-01,1.426960e-02
1.835000e-01,1.422465e-02
1.845000e-01,1.417971e-02
1.855000e-01,1.413477e-02
1.865000e-01,1.408982e-02
1.875000e-01,1.404488e-02
1.885000e-01,1.399993e-02
1.895000e-01,1.395499e-02
1.905000e-01,1.391005e-02
1.915000e-01,1.386510e-02
1.925000e-01,1.382016e-02
1.935000e-01,1.377521e-02
1.945000e-01,1.373027e-02
1.955000e-01,1.368533e-02
1.965000e-01,1.364038e-02
1.975000e-01,1.359544e-02
1.985000e-01,1.355049e-02
1.995000e-01,1.350555e-02
2.005000e-01,1.346061e-02
2.015000e-01,1.341566e-02
2.025000e-01,1.337072e-02
2.035000e-01,1.332577e-02
2.045000e-01,1.328083e-02
2.055000e-01,1.323589e-02
2.065000e-01,1.319094e-02
2.075000e-01,1.314600e-02
2.085000e-01,1.310106e-02
2.095000e-01,1.305611e-02
2.105000e-01,1.301117e-02
2.115000e-01,1.296622e-02
2.123168e-01,1.292951e-02
2.128168e-01,1.290704e-02
2.135000e-01,1.287634e-02
2.145000e-01,1.283139e-02
2.151567e-01,1.280188e-02
2.156567e-01,1.277941e-02
2.165000e-01,1.274151e-02
2.175000e-01,1.269656e-02
2.185000e-01,1.265162e-02
2.195000e-01,1.260667e-02
2.205000e-01,1.256173e-02
2.215000e-01,1.251679e-02
2.225000e-01,1.247184e-02
2.235000e-01,1.242690e-02
2.245000e-01,1.238196e-02
2.255000e-01,1.233701e-02
2.265000e-01,1.229207e-02
2.275000e-01,1.224712e-02
2.285000e-01,1.220218e-02
2.295000e-01,1.215724e-02
2.305000e-01,1.211229e-02
2.315000e-01,1.206735e-02
2.325000e-01,1.202241e-02
2.335000e-01,1.197746e-02
2.345000e-01,1.193252e-02
2.355000e-01,1.188757e-02
2.365000e-01,1.184263e-02
2.375000e-01,1.179769e-02
2.385000e-01,1.175274e-02
2.395000e-01,1.170780e-02
2.405000e-01,1.166286e-02
2.415000e-01,1.161791e-02
2.425000e-01,1.157297e-02
2.435000e-01,1.152802e-02
2.445000e-01,1.148308e-02
2.455000e-01,1.143814e-02
2.465000e-01,1.139319e-02
2.475000e-01,1.134825e-02
2.485000e-01,1.130331e-02
2.495000e-01,1.125836e-02
2.505000e-01,1.121342e-02
2.515000e-01,1.116848e-02
2.525000e-01,1.112353e-02
2.535000e-01,1.107859e-02
2.545000e-01,1.103364e-02
2.555000e-01,1.098870e-02
2.565000e-01,1.094376e-02
2.575000e-01,1.089881e-02
2.585000e-01,1.085387e-02
2.595000e-01,1.080893e-02
2.605000e-01,1.076398e-02
2.615000e-01,1.071904e-02
2.625000e-01,1.067410e-02
2.635000e-01,1.062915e-02
2.645000e-01,1.058421e-02
2.655000e-01,1.053926e-02
2.665000e-01,1.049432e-02
2.675000e-01,1.044938e-02
2.685000e-01,1.040443e-02
2.695000e-01,1.035949e-02
2.705000e-01,1.031455e-02
2.715000e-01,1.026960e-02
2.725000e-01,1.022466e-02
2.735000e-01,1.017972e-02
2.745000e-01,1.013477e-02
2.755000e-01,1.008983e-02
2.765000e-01,1.004489e-02
2.775000e-01,9.999942e-03
2.785000e-01,9.954998e-03
2.795000e-01,9.910054e-03
2.805000e-01,9.865111e-03
2.815000e-01,9.820167e-03
2.825000e-01,9.775224e-03
2.835000e-01,9.730280e-03
2.845000e-01,9.685337e-03
2.855000e-01,9.640393e-03
2.865000e-01,9.595449e-03
2.875000e-01,9.550506e-03
2.885000e-01,9.505562e-03
2.895000e-01,9.460619e-03
2.905000e-01,9.415675e-03
2.915000e-01,9.370731e-03
2.925000e-01,9.325788e-03
2.935000e-01,9.280844e-03
2.945000e-01,9.235901e-03
2.955000e-01,9.190957e-03
2.965000e-01,9.146014e-03
2.975000e-01,9.101070e-03
2.985000e-01,9.056126e-03
2.995000e-01,9.011183e-03
3.005000e-01,8.966239e-03
3.015000e-01,8.921296e-03
3.025000e-01,8.876352e-03
3.035000e-01,8.831409e-03
3.045000e-01,8.786465e-03
3.055000e-01,8.741521e-03
3.065000e-01,8.696578e-03
3.075000e-01,8.651634e-03
3.085000e-01,8.606691e-03
3.095000e-01,8.561747e-03
3.105000e-01,8.516804e-03
3.115000e-01,8.471860e-03
3.125000e-01,8.426916e-03
3.135000e-01,8.381973e-03
3.145000e-01,8.337029e-03
3.155000e-01,8.292086e-03
3.165000e-01,8.247142e-03
3.175000e-01,8.202199e-03
3.185000e-01,8.157255e-03
3.195000e-01,8.112311e-03
3.205000e-01,8.067368e-03
3.215000e-01,8.022424e-03
3.225000e-01,7.977481e-03
3.235000e-01,7.932537e-03
3.245000e-01,7.887594e-03
3.255000e-01,7.842650e-03
3.265000e-01,7.797707e-03
3.275000e-01,7.752763e-03
3.285000e-01,7.707819e-03
3.295000e-01,7.662876e-03
3.305000e-01,7.617932e-03
3.315000e-01,7.572989e-03
3.325000e-01,7.528045e-03
3.335000e-01,7.483102e-03
3.345000e-01,7.438158e-03
3.355000e-01,7.393214e-03
3.365000e-01,7.348271e-03
3.375000e-01,7.303327e-03
3.385000e-01,7.258384e-03
3.395000e-01,7.213440e-03
3.405000e-01,7.168497e-03
3.415000e-01,7.123553e-03
3.425000e-01,7.078610e-03
3.435000e-01,7.033666e-03
3.445000e-01,6.988722e-03
3.455000e-01,6.943779e-03
3.465000e-01,6.898835e-03
3.475000e-01,6.853892e-03
3.485000e-01,6.808948e-03
3.495000e-01,6.764005e-03
3.505000e-01,6.719061e-03
3.515000e-01,6.674118e-03
3.525000e-01,6.629174e-03
3.535000e-01,6.584230e-03
3.545000e-01,6.539287e-03
3.555000e-01,6.494343e-03
3.565000e-01,6.449400e-03
3.575000e-01,6.404456e-03
3.585000e-01,6.359513e-03
3.595000e-01,6.314569e-03
3.605000e-01,6.269626e-03
3.615000e-01,6.224682e-03
3.625000e-01,6.179738e-03
3.635000e-01,6.134795e-03
3.645000e-01,6.089851e-03
3.655000e-01,6.044908e-03
3.665000e-01,5.999964e-03
3.675000e-01,5.955021e-03
3.685000e-01,5.910077e-03
3.695000e-01,5.865134e-03
3.705000e-01,5.820190e-03
3.715000e-01,5.775246e-03
3.725000e-01,5.730303e-03
3.735000e-01,5.685359e-03
3.745000e-01,5.640416e-03
3.755000e-01,5.595472e-03
3.765000e-01,5.550529e-03
3.775000e-01,5.505585e-03
3.785000e-01,5.460642e-03
3.795000e-01,5.415698e-03
3.805000e-01,5.370754e-03
3.815000e-01,5.325811e-03
3.825000e-01,5.280867e-03
3.835000e-01,5.235924e-03
3.845000e-01,5.190980e-03
3.855000e-01,5.146037e-03
3.865000e-01,5.101093e-03
3.875000e-01,5.056150e-03
3.885000e-01,5.011206e-03
3.895000e-01,4.966262e-03
3.905000e-01,4.921319e-03
3.915000e-01,4.876375e-03
3.925000e-01,4.831432e-03
3.935000e-01,4.786488e-03
3.945000e-01,4.741545e-03
3.955000e-01,4.696601e-03
3.965000e-01,4.651658e-03
3.975000e-01,4.606714e-03
3.985000e-01,4.561770e-03
3.995000e-01,4.516827e-03
4.005000e-01,4.471883e-03
4.015000e-01,4.426940e-03
4.025000e-01,4.381996e-03
4.035000e-01,4.337053e-03
4.045000e-01,4.292109e-03
4.055000e-01,4.247166e-03
4.065000e-01,4.202222e-03
4.075000e-01,4.157279e-03
4.085000e-01,4.112335e-03
4.095000e-01,4.067391e-03
4.105000e-01,4.022448e-03
4.115000e-01,3.977504e-03
4.125000e-01,3.932561e-03
4.135000e-01,3.887617e-03
4.145000e-01,3.842674e-03
4.155000e-01,3.797730e-03
4.165000e-01,3.752787e-03
4.175000e-01,3.707843e-03
4.185000e-01,3.662899e-03
4.195000e-01,3.617956e-03
4.205000e-01,3.573012e-03
4.215000e-01,3.528069e-03
4.225000e-01,3.483125e-03
4.235000e-01,3.438182e-03
4.245000e-01,3.393238e-03
4.255000e-01,3.348295e-03
4.265000e-01,3.303351e-03
4.275000e-01,3.258407e-03
4.285000e-01,3.213464e-03
4.295000e-01,3.168520e-03
4.305000e-01,3.123577e-03
4.315000e-01,3.078633e-03
4.325000e-01,3.033690e-03
4.335000e-01,2.988746e-03
4.345000e-01,2.943803e-03
4.355000e-01,2.898859e-03
4.365000e-01,2.853916e-03
4.375000e-01,2.808972e-03
4.385000e-01,2.764028e-03
4.395000e-01,2.719085e-03
4.405000e-01,2.674141e-03
4.415000e-01,2.629198e-03
4.425000e-01,2.584254e-03
4.435000e-01,2.539311e-03
4.445000e-01,2.494367e-03
4.455000e-01,2.449424e-03
4.465000e-01,2.404480e-03
4.475000e-01,2.359536e-03
4.485000e-01,2.314593e-03
4.495000e-01,2.269649e-03

LINEAR FIT,p(x) = slope·x + intercept
slope_fit_kin = -4.494453e-02 m²/s²/m
slope_analytical_kin = -4.500000e-02 m²/s²/m
delta_pct = -0.1233%
intercept_fit_kin = 2.247210e-02 m²/s²
