y_m,y_over_H,u_sampled_m_s,u_analytical_m_s,delta_pct_of_umax,uy_sampled_m_s,p_kinematic_m2_s2
-9.863383e-03,-0.9863,4.093362e-03,4.070507e-03,0.0152,-1.493e-14,2.2472e-05
-9.582017e-03,-0.9582,1.229340e-02,1.227741e-02,0.0107,2.398e-13,2.2472e-05
-9.283903e-03,-0.9284,2.072297e-02,2.071372e-02,0.0062,7.667e-13,2.2472e-05
-8.968043e-03,-0.8968,2.936403e-02,2.936131e-02,0.0018,1.583e-12,2.2472e-05
-8.633381e-03,-0.8633,3.819359e-02,3.819709e-02,-0.0023,2.565e-12,2.2472e-05
-8.278798e-03,-0.8279,4.718290e-02,4.719225e-02,-0.0062,3.717e-12,2.2472e-05
-7.903108e-03,-0.7903,5.629664e-02,5.631132e-02,-0.0098,5.067e-12,2.2472e-05
-7.505055e-03,-0.7505,6.549187e-02,6.551122e-02,-0.0129,6.624e-12,2.2472e-05
-7.083307e-03,-0.7083,7.471691e-02,7.474014e-02,-0.0155,8.408e-12,2.2472e-05
-6.636454e-03,-0.6636,8.391009e-02,8.393621e-02,-0.0174,1.040e-11,2.2472e-05
-6.163002e-03,-0.6163,9.299829e-02,9.302611e-02,-0.0185,1.259e-11,2.2472e-05
-5.661367e-03,-0.5661,1.018953e-01,1.019234e-01,-0.0187,1.491e-11,2.2472e-05
-5.129872e-03,-0.5130,1.105000e-01,1.105266e-01,-0.0178,1.729e-11,2.2472e-05
-4.566739e-03,-0.4567,1.186942e-01,1.187173e-01,-0.0155,1.961e-11,2.2472e-05
-3.970085e-03,-0.3970,1.263403e-01,1.263576e-01,-0.0116,2.173e-11,2.2472e-05
-3.337914e-03,-0.3338,1.332788e-01,1.332875e-01,-0.0058,2.352e-11,2.2472e-05
-2.668113e-03,-0.2668,1.393249e-01,1.393218e-01,0.0021,2.474e-11,2.2472e-05
-1.958441e-03,-0.1958,1.442655e-01,1.442468e-01,0.0125,2.558e-11,2.2472e-05
-1.206525e-03,-0.1207,1.478552e-01,1.478164e-01,0.0258,2.545e-11,2.2472e-05
-4.098503e-04,-0.0410,1.498118e-01,1.497480e-01,0.0425,2.438e-11,2.2472e-05
4.098505e-04,0.0410,1.498118e-01,1.497480e-01,0.0425,2.330e-11,2.2472e-05
1.206525e-03,0.1207,1.478552e-01,1.478164e-01,0.0258,2.154e-11,2.2472e-05
1.958441e-03,0.1958,1.442655e-01,1.442468e-01,0.0125,1.939e-11,2.2472e-05
2.668114e-03,0.2668,1.393249e-01,1.393218e-01,0.0021,1.750e-11,2.2472e-05
3.337915e-03,0.3338,1.332787e-01,1.332875e-01,-0.0058,1.569e-11,2.2472e-05
3.970086e-03,0.3970,1.263403e-01,1.263576e-01,-0.0116,1.405e-11,2.2472e-05
4.566740e-03,0.4567,1.186941e-01,1.187173e-01,-0.0155,1.255e-11,2.2472e-05
5.129873e-03,0.5130,1.105000e-01,1.105266e-01,-0.0178,1.118e-11,2.2472e-05
5.661369e-03,0.5661,1.018953e-01,1.019234e-01,-0.0187,9.905e-12,2.2472e-05
6.163003e-03,0.6163,9.299827e-02,9.302608e-02,-0.0185,8.710e-12,2.2472e-05
6.636456e-03,0.6636,8.391007e-02,8.393619e-02,-0.0174,7.581e-12,2.2472e-05
7.083308e-03,0.7083,7.471688e-02,7.474012e-02,-0.0155,6.507e-12,2.2472e-05
7.505056e-03,0.7505,6.549185e-02,6.551120e-02,-0.0129,5.486e-12,2.2472e-05
7.903109e-03,0.7903,5.629662e-02,5.631130e-02,-0.0098,4.507e-12,2.2472e-05
8.278799e-03,0.8279,4.718288e-02,4.719223e-02,-0.0062,3.577e-12,2.2472e-05
8.633382e-03,0.8633,3.819357e-02,3.819708e-02,-0.0023,2.687e-12,2.2472e-05
8.968044e-03,0.8968,2.936402e-02,2.936129e-02,0.0018,1.861e-12,2.2472e-05
9.283903e-03,0.9284,2.072296e-02,2.071371e-02,0.0062,1.105e-12,2.2472e-05
9.582018e-03,0.9582,1.229339e-02,1.227741e-02,0.0107,5.249e-13,2.2472e-05
9.863383e-03,0.9863,4.093360e-03,4.070505e-03,0.0152,1.157e-13,2.2472e-05
