y_m,y_over_H,u_sampled_m_s,u_analytical_m_s,delta_pct_of_umax,uy_sampled_m_s,p_kinematic_m2_s2
-9.863383e-03,-0.9863,4.094438e-03,4.070507e-03,0.0160,1.269e-11,1.1236e-02
-9.582017e-03,-0.9582,1.234595e-02,1.227741e-02,0.0457,6.009e-11,1.1236e-02
-9.283903e-03,-0.9284,2.077030e-02,2.071372e-02,0.0377,1.552e-10,1.1236e-02
-8.968043e-03,-0.8968,2.940482e-02,2.936131e-02,0.0290,3.038e-10,1.1236e-02
-8.633381e-03,-0.8633,3.822633e-02,3.819709e-02,0.0195,5.087e-10,1.1236e-02
-8.278798e-03,-0.8279,4.720586e-02,4.719225e-02,0.0091,7.707e-10,1.1236e-02
-7.903108e-03,-0.7903,5.630783e-02,5.631132e-02,-0.0023,1.089e-09,1.1236e-02
-7.505055e-03,-0.7505,6.548904e-02,6.551122e-02,-0.0148,1.460e-09,1.1236e-02
-7.083307e-03,-0.7083,7.469751e-02,7.474014e-02,-0.0284,1.876e-09,1.1236e-02
-6.636454e-03,-0.6636,8.387123e-02,8.393621e-02,-0.0433,2.323e-09,1.1236e-02
-6.163002e-03,-0.6163,9.293672e-02,9.302611e-02,-0.0596,2.782e-09,1.1236e-02
-5.661367e-03,-0.5661,1.018074e-01,1.019234e-01,-0.0773,3.223e-09,1.1236e-02
-5.129872e-03,-0.5130,1.103816e-01,1.105266e-01,-0.0967,3.608e-09,1.1236e-02
-4.566739e-03,-0.4567,1.185407e-01,1.187173e-01,-0.1178,3.891e-09,1.1236e-02
-3.970085e-03,-0.3970,1.261467e-01,1.263576e-01,-0.1406,4.015e-09,1.1236e-02
-3.337914e-03,-0.3338,1.330393e-01,1.332875e-01,-0.1655,3.924e-09,1.1236e-02
-2.668113e-03,-0.2668,1.390333e-01,1.393218e-01,-0.1923,3.558e-09,1.1236e-02
-1.958441e-03,-0.1958,1.439148e-01,1.442468e-01,-0.2213,2.887e-09,1.1236e-02
-1.206525e-03,-0.1207,1.474378e-01,1.478164e-01,-0.2525,1.918e-09,1.1236e-02
-4.098503e-04,-0.0410,1.493192e-01,1.497480e-01,-0.2859,6.796e-10,1.1236e-02
4.098505e-04,0.0410,1.493192e-01,1.497480e-01,-0.2859,-6.794e-10,1.1236e-02
1.206525e-03,0.1207,1.474378e-01,1.478164e-01,-0.2525,-1.918e-09,1.1236e-02
1.958441e-03,0.1958,1.439148e-01,1.442468e-01,-0.2213,-2.887e-09,1.1236e-02
2.668114e-03,0.2668,1.390333e-01,1.393218e-01,-0.1923,-3.558e-09,1.1236e-02
3.337915e-03,0.3338,1.330393e-01,1.332875e-01,-0.1655,-3.924e-09,1.1236e-02
3.970086e-03,0.3970,1.261467e-01,1.263576e-01,-0.1406,-4.015e-09,1.1236e-02
4.566740e-03,0.4567,1.185407e-01,1.187173e-01,-0.1178,-3.891e-09,1.1236e-02
5.129873e-03,0.5130,1.103816e-01,1.105266e-01,-0.0967,-3.608e-09,1.1236e-02
5.661369e-03,0.5661,1.018073e-01,1.019234e-01,-0.0773,-3.223e-09,1.1236e-02
6.163003e-03,0.6163,9.293670e-02,9.302608e-02,-0.0596,-2.782e-09,1.1236e-02
6.636456e-03,0.6636,8.387121e-02,8.393619e-02,-0.0433,-2.323e-09,1.1236e-02
7.083308e-03,0.7083,7.469748e-02,7.474012e-02,-0.0284,-1.876e-09,1.1236e-02
7.505056e-03,0.7505,6.548901e-02,6.551120e-02,-0.0148,-1.460e-09,1.1236e-02
7.903109e-03,0.7903,5.630781e-02,5.631130e-02,-0.0023,-1.089e-09,1.1236e-02
8.278799e-03,0.8279,4.720584e-02,4.719223e-02,0.0091,-7.707e-10,1.1236e-02
8.633382e-03,0.8633,3.822631e-02,3.819708e-02,0.0195,-5.088e-10,1.1236e-02
8.968044e-03,0.8968,2.940481e-02,2.936129e-02,0.0290,-3.038e-10,1.1236e-02
9.283903e-03,0.9284,2.077029e-02,2.071371e-02,0.0377,-1.552e-10,1.1236e-02
9.582018e-03,0.9582,1.234594e-02,1.227741e-02,0.0457,-6.010e-11,1.1236e-02
9.863383e-03,0.9863,4.094435e-03,4.070505e-03,0.0160,-1.269e-11,1.1236e-02
