x_m,p_kinematic_m2_s2
5.050000e-02,-1.886641e-16
5.150000e-02,-1.887857e-16
5.250000e-02,-1.898793e-16
5.350000e-02,-1.919462e-16
5.450000e-02,-1.931322e-16
5.550000e-02,-1.936559e-16
5.650000e-02,-1.942500e-16
5.750000e-02,-1.945923e-16
5.850000e-02,-1.949546e-16
5.950000e-02,-1.952762e-16
6.050000e-02,-1.953845e-16
6.150000e-02,-1.950116e-16
6.250000e-02,-1.942273e-16
6.350000e-02,-1.939409e-16
6.450000e-02,-1.940304e-16
6.550000e-02,-1.942066e-16
6.650000e-02,-1.954078e-16
6.750000e-02,-1.975815e-16
6.850000e-02,-1.992645e-16
6.950000e-02,-1.999075e-16
7.050000e-02,-2.005581e-16
7.150000e-02,-2.022367e-16
7.250000e-02,-2.044985e-16
7.350000e-02,-2.068508e-16
7.450000e-02,-2.085168e-16
7.550000e-02,-2.091994e-16
7.650000e-02,-2.098117e-16
7.750000e-02,-2.104885e-16
7.850000e-02,-2.117877e-16
7.950000e-02,-2.137403e-16
8.050000e-02,-2.152085e-16
8.150000e-02,-2.158599e-16
8.250000e-02,-2.164212e-16
8.350000e-02,-2.173749e-16
8.450000e-02,-2.181424e-16
8.550000e-02,-2.184558e-16
8.650000e-02,-2.187791e-16
8.750000e-02,-2.200566e-16
8.850000e-02,-2.217590e-16
8.950000e-02,-2.226180e-16
9.050000e-02,-2.230680e-16
9.150000e-02,-2.238729e-16
9.250000e-02,-2.255350e-16
9.350000e-02,-2.270896e-16
9.450000e-02,-2.278953e-16
9.550000e-02,-2.294317e-16
9.650000e-02,-2.315022e-16
9.750000e-02,-2.327113e-16
9.850000e-02,-2.333611e-16
9.950000e-02,-2.336658e-16
1.005000e-01,-2.333915e-16
1.015000e-01,-2.337475e-16
1.025000e-01,-2.350103e-16
1.035000e-01,-2.358630e-16
1.045000e-01,-2.369414e-16
1.055000e-01,-2.392337e-16
1.065000e-01,-2.411042e-16
1.075000e-01,-2.418948e-16
1.085000e-01,-2.426713e-16
1.095000e-01,-2.433554e-16
1.105000e-01,-2.442725e-16
1.115000e-01,-2.454551e-16
1.125000e-01,-2.464758e-16
1.135000e-01,-2.475585e-16
1.145000e-01,-2.481494e-16
1.155000e-01,-2.486495e-16
1.165000e-01,-2.501382e-16
1.175000e-01,-2.522668e-16
1.185000e-01,-2.535070e-16
1.195000e-01,-2.534237e-16
1.205000e-01,-2.543052e-16
1.215000e-01,-2.562367e-16
1.225000e-01,-2.574616e-16
1.235000e-01,-2.588034e-16
1.245000e-01,-2.603233e-16
1.255000e-01,-2.610787e-16
1.265000e-01,-2.614683e-16
1.275000e-01,-2.617474e-16
1.285000e-01,-2.617846e-16
1.295000e-01,-2.617789e-16
1.305000e-01,-2.618155e-16
1.315000e-01,-2.615660e-16
1.325000e-01,-2.615349e-16
1.335000e-01,-2.629365e-16
1.345000e-01,-2.652358e-16
1.355000e-01,-2.667381e-16
1.365000e-01,-2.668692e-16
1.375000e-01,-2.668170e-16
1.385000e-01,-2.673258e-16
1.395000e-01,-2.677632e-16
1.405000e-01,-2.682713e-16
1.415000e-01,-2.681785e-16
1.425000e-01,-2.674800e-16
1.435000e-01,-2.678435e-16
1.445000e-01,-2.685105e-16
1.455000e-01,-2.686871e-16
1.465000e-01,-2.690102e-16
1.475000e-01,-2.698754e-16
1.485000e-01,-2.716004e-16
1.495000e-01,-2.738525e-16
1.505000e-01,-2.758136e-16
1.515000e-01,-2.769010e-16
1.525000e-01,-2.779044e-16
1.535000e-01,-2.790897e-16
1.545000e-01,-2.799038e-16
1.555000e-01,-2.809753e-16
1.565000e-01,-2.821730e-16
1.575000e-01,-2.831335e-16
1.585000e-01,-2.836485e-16
1.595000e-01,-2.839760e-16
1.605000e-01,-2.852300e-16
1.615000e-01,-2.866041e-16
1.625000e-01,-2.870771e-16
