y_m,y_over_H,u_sampled_m_s,u_analytical_m_s,delta_pct_of_utop,uy_sampled_m_s,p_kinematic_m2_s2
1.250000e-04,0.0125,1.250000e-03,1.250000e-03,-2.168404e-16,1.472e-18,-1.4411e-18
3.750000e-04,0.0375,3.750000e-03,3.750000e-03,0.000000e+00,-9.763e-20,-5.9279e-19
6.250000e-04,0.0625,6.250000e-03,6.250000e-03,0.000000e+00,-3.440e-18,3.7413e-19
8.750000e-04,0.0875,8.750000e-03,8.750000e-03,1.734723e-15,-7.665e-18,1.2805e-18
1.125000e-03,0.1125,1.125000e-02,1.125000e-02,0.000000e+00,-1.849e-17,1.3975e-18
1.375000e-03,0.1375,1.375000e-02,1.375000e-02,1.734723e-15,-2.550e-17,8.9922e-19
1.625000e-03,0.1625,1.625000e-02,1.625000e-02,3.469447e-15,-3.287e-17,5.0163e-19
1.875000e-03,0.1875,1.875000e-02,1.875000e-02,-3.469447e-15,-3.377e-17,8.4237e-19
2.125000e-03,0.2125,2.125000e-02,2.125000e-02,-3.469447e-15,-4.420e-17,1.0573e-18
2.375000e-03,0.2375,2.375000e-02,2.375000e-02,0.000000e+00,-4.794e-17,8.4272e-19
2.625000e-03,0.2625,2.625000e-02,2.625000e-02,-3.469447e-15,-5.081e-17,5.5087e-19
2.875000e-03,0.2875,2.875000e-02,2.875000e-02,3.469447e-15,-5.283e-17,2.0542e-19
3.125000e-03,0.3125,3.125000e-02,3.125000e-02,0.000000e+00,-5.373e-17,-1.8426e-20
3.375000e-03,0.3375,3.375000e-02,3.375000e-02,6.938894e-15,-5.502e-17,-2.6101e-19
3.625000e-03,0.3625,3.625000e-02,3.625000e-02,0.000000e+00,-4.553e-17,4.7228e-19
3.875000e-03,0.3875,3.875000e-02,3.875000e-02,-6.938894e-15,-4.941e-17,1.4078e-18
4.125000e-03,0.4125,4.125000e-02,4.125000e-02,-6.938894e-15,-4.521e-17,1.0532e-18
4.375000e-03,0.4375,4.375000e-02,4.375000e-02,-1.387779e-14,-4.401e-17,4.1193e-19
4.625000e-03,0.4625,4.625000e-02,4.625000e-02,0.000000e+00,-4.538e-17,1.2619e-19
4.875000e-03,0.4875,4.875000e-02,4.875000e-02,0.000000e+00,-4.586e-17,-9.9063e-21
5.125000e-03,0.5125,5.125000e-02,5.125000e-02,0.000000e+00,-4.505e-17,-2.8872e-19
5.375000e-03,0.5375,5.375000e-02,5.375000e-02,0.000000e+00,-4.397e-17,-7.4070e-19
5.625000e-03,0.5625,5.625000e-02,5.625000e-02,0.000000e+00,-4.469e-17,-8.1707e-19
5.875000e-03,0.5875,5.875000e-02,5.875000e-02,-6.938894e-15,-4.246e-17,-8.5220e-19
6.125000e-03,0.6125,6.125000e-02,6.125000e-02,-6.938894e-15,-3.983e-17,-9.5255e-19
6.375000e-03,0.6375,6.375000e-02,6.375000e-02,0.000000e+00,-3.645e-17,-9.5620e-19
6.625000e-03,0.6625,6.625000e-02,6.625000e-02,0.000000e+00,-3.188e-17,-1.0859e-18
6.875000e-03,0.6875,6.875000e-02,6.875000e-02,0.000000e+00,-2.812e-17,-1.5278e-18
7.125000e-03,0.7125,7.125000e-02,7.125000e-02,-1.387779e-14,-2.674e-17,-1.7309e-18
7.375000e-03,0.7375,7.375000e-02,7.375000e-02,0.000000e+00,-1.824e-17,-1.0237e-18
7.625000e-03,0.7625,7.625000e-02,7.625000e-02,0.000000e+00,-2.948e-17,-8.0665e-19
7.875000e-03,0.7875,7.875000e-02,7.875000e-02,0.000000e+00,-2.966e-17,-6.5274e-19
8.125000e-03,0.8125,8.125000e-02,8.125000e-02,0.000000e+00,-2.880e-17,-1.1545e-18
8.375000e-03,0.8375,8.375000e-02,8.375000e-02,0.000000e+00,-2.580e-17,-1.6042e-18
8.625000e-03,0.8625,8.625000e-02,8.625000e-02,-1.387779e-14,-2.188e-17,-1.9223e-18
8.875000e-03,0.8875,8.875000e-02,8.875000e-02,0.000000e+00,-1.793e-17,-2.5616e-18
9.125000e-03,0.9125,9.125000e-02,9.125000e-02,0.000000e+00,-9.098e-18,-3.9751e-18
9.375000e-03,0.9375,9.375000e-02,9.375000e-02,0.000000e+00,-7.871e-18,-4.6095e-18
9.625000e-03,0.9625,9.625000e-02,9.625000e-02,0.000000e+00,-7.208e-18,-4.4223e-18
9.875000e-03,0.9875,9.875000e-02,9.875000e-02,0.000000e+00,-4.255e-18,-4.2732e-18
