y_m,y_over_H,u_sampled_m_s,u_analytical_m_s,delta_pct_of_utop,uy_sampled_m_s,p_kinematic_m2_s2
1.250000e-04,0.0125,1.250000e-03,1.250000e-03,-2.168404e-16,1.149e-19,-2.8773e-16
3.750000e-04,0.0375,3.750000e-03,3.750000e-03,0.000000e+00,6.873e-19,-2.8774e-16
6.250000e-04,0.0625,6.250000e-03,6.250000e-03,0.000000e+00,1.763e-18,-2.8772e-16
8.750000e-04,0.0875,8.750000e-03,8.750000e-03,1.734723e-15,3.333e-18,-2.8768e-16
1.125000e-03,0.1125,1.125000e-02,1.125000e-02,0.000000e+00,5.615e-18,-2.8764e-16
1.375000e-03,0.1375,1.375000e-02,1.375000e-02,1.734723e-15,8.407e-18,-2.8765e-16
1.625000e-03,0.1625,1.625000e-02,1.625000e-02,3.469447e-15,1.103e-17,-2.8771e-16
1.875000e-03,0.1875,1.875000e-02,1.875000e-02,-3.469447e-15,1.295e-17,-2.8779e-16
2.125000e-03,0.2125,2.125000e-02,2.125000e-02,-3.469447e-15,1.418e-17,-2.8785e-16
2.375000e-03,0.2375,2.375000e-02,2.375000e-02,0.000000e+00,1.488e-17,-2.8786e-16
2.625000e-03,0.2625,2.625000e-02,2.625000e-02,-3.469447e-15,1.521e-17,-2.8789e-16
2.875000e-03,0.2875,2.875000e-02,2.875000e-02,3.469447e-15,1.510e-17,-2.8796e-16
3.125000e-03,0.3125,3.125000e-02,3.125000e-02,0.000000e+00,1.465e-17,-2.8801e-16
3.375000e-03,0.3375,3.375000e-02,3.375000e-02,6.938894e-15,1.406e-17,-2.8808e-16
3.625000e-03,0.3625,3.625000e-02,3.625000e-02,0.000000e+00,1.383e-17,-2.8823e-16
3.875000e-03,0.3875,3.875000e-02,3.875000e-02,-6.938894e-15,1.464e-17,-2.8836e-16
4.125000e-03,0.4125,4.125000e-02,4.125000e-02,-6.938894e-15,1.566e-17,-2.8843e-16
4.375000e-03,0.4375,4.375000e-02,4.375000e-02,-1.387779e-14,1.661e-17,-2.8845e-16
4.625000e-03,0.4625,4.625000e-02,4.625000e-02,0.000000e+00,1.816e-17,-2.8842e-16
4.875000e-03,0.4875,4.875000e-02,4.875000e-02,0.000000e+00,1.943e-17,-2.8845e-16
5.125000e-03,0.5125,5.125000e-02,5.125000e-02,0.000000e+00,1.874e-17,-2.8863e-16
5.375000e-03,0.5375,5.375000e-02,5.375000e-02,0.000000e+00,1.550e-17,-2.8880e-16
5.625000e-03,0.5625,5.625000e-02,5.625000e-02,0.000000e+00,1.115e-17,-2.8875e-16
5.875000e-03,0.5875,5.875000e-02,5.875000e-02,-6.938894e-15,8.311e-18,-2.8854e-16
6.125000e-03,0.6125,6.125000e-02,6.125000e-02,-6.938894e-15,7.737e-18,-2.8838e-16
6.375000e-03,0.6375,6.375000e-02,6.375000e-02,0.000000e+00,7.713e-18,-2.8836e-16
6.625000e-03,0.6625,6.625000e-02,6.625000e-02,0.000000e+00,6.856e-18,-2.8832e-16
6.875000e-03,0.6875,6.875000e-02,6.875000e-02,0.000000e+00,5.957e-18,-2.8813e-16
7.125000e-03,0.7125,7.125000e-02,7.125000e-02,-1.387779e-14,5.679e-18,-2.8802e-16
7.375000e-03,0.7375,7.375000e-02,7.375000e-02,0.000000e+00,6.025e-18,-2.8810e-16
7.625000e-03,0.7625,7.625000e-02,7.625000e-02,0.000000e+00,7.074e-18,-2.8808e-16
7.875000e-03,0.7875,7.875000e-02,7.875000e-02,0.000000e+00,7.620e-18,-2.8794e-16
8.125000e-03,0.8125,8.125000e-02,8.125000e-02,0.000000e+00,6.894e-18,-2.8791e-16
8.375000e-03,0.8375,8.375000e-02,8.375000e-02,0.000000e+00,5.711e-18,-2.8791e-16
8.625000e-03,0.8625,8.625000e-02,8.625000e-02,-1.387779e-14,4.618e-18,-2.8790e-16
8.875000e-03,0.8875,8.875000e-02,8.875000e-02,0.000000e+00,3.176e-18,-2.8792e-16
9.125000e-03,0.9125,9.125000e-02,9.125000e-02,0.000000e+00,1.488e-18,-2.8783e-16
9.375000e-03,0.9375,9.375000e-02,9.375000e-02,0.000000e+00,6.286e-19,-2.8768e-16
9.625000e-03,0.9625,9.625000e-02,9.625000e-02,0.000000e+00,5.816e-19,-2.8763e-16
9.875000e-03,0.9875,9.875000e-02,9.875000e-02,0.000000e+00,3.072e-19,-2.8769e-16
