x_m,p_kinematic_m2_s2
5.050000e-02,2.165418e-01
5.150000e-02,2.160601e-01
5.250000e-02,2.155783e-01
5.350000e-02,2.150966e-01
5.450000e-02,2.146148e-01
5.550000e-02,2.141331e-01
5.650000e-02,2.136513e-01
5.750000e-02,2.131696e-01
5.850000e-02,2.126878e-01
5.950000e-02,2.122061e-01
6.050000e-02,2.117243e-01
6.150000e-02,2.112426e-01
6.250000e-02,2.107608e-01
6.350000e-02,2.102791e-01
6.450000e-02,2.097973e-01
6.550000e-02,2.093156e-01
6.650000e-02,2.088338e-01
6.750000e-02,2.083521e-01
6.850000e-02,2.078704e-01
6.950000e-02,2.073886e-01
7.050000e-02,2.069069e-01
7.150000e-02,2.064251e-01
7.250000e-02,2.059434e-01
7.350000e-02,2.054616e-01
7.450000e-02,2.049799e-01
7.550000e-02,2.044982e-01
7.650000e-02,2.040164e-01
7.750000e-02,2.035347e-01
7.850000e-02,2.030529e-01
7.950000e-02,2.025712e-01
8.050000e-02,2.020895e-01
8.150000e-02,2.016077e-01
8.250000e-02,2.011260e-01
8.350000e-02,2.006442e-01
8.450000e-02,2.001625e-01
8.550000e-02,1.996808e-01
8.650000e-02,1.991990e-01
8.750000e-02,1.987173e-01
8.850000e-02,1.982355e-01
8.950000e-02,1.977538e-01
9.050000e-02,1.972721e-01
9.150000e-02,1.967903e-01
9.250000e-02,1.963086e-01
9.350000e-02,1.958269e-01
9.450000e-02,1.953451e-01
9.550000e-02,1.948634e-01
9.650000e-02,1.943816e-01
9.750000e-02,1.938999e-01
9.850000e-02,1.934182e-01
9.950000e-02,1.929364e-01
1.005000e-01,1.924547e-01
1.015000e-01,1.919729e-01
1.025000e-01,1.914912e-01
1.035000e-01,1.910095e-01
1.045000e-01,1.905277e-01
1.055000e-01,1.900460e-01
1.065000e-01,1.895642e-01
1.075000e-01,1.890825e-01
1.085000e-01,1.886008e-01
1.095000e-01,1.881190e-01
1.105000e-01,1.876373e-01
1.115000e-01,1.871555e-01
1.125000e-01,1.866738e-01
1.135000e-01,1.861921e-01
1.145000e-01,1.857103e-01
1.155000e-01,1.852286e-01
1.165000e-01,1.847469e-01
1.175000e-01,1.842651e-01
1.185000e-01,1.837834e-01
1.195000e-01,1.833016e-01
1.205000e-01,1.828199e-01
1.215000e-01,1.823382e-01
1.225000e-01,1.818564e-01
1.235000e-01,1.813747e-01
1.245000e-01,1.808929e-01
1.255000e-01,1.804112e-01
1.265000e-01,1.799295e-01
1.275000e-01,1.794477e-01
1.285000e-01,1.789660e-01
1.295000e-01,1.784842e-01
1.305000e-01,1.780025e-01
1.315000e-01,1.775208e-01
1.325000e-01,1.770390e-01
1.335000e-01,1.765573e-01
1.345000e-01,1.760756e-01
1.355000e-01,1.755938e-01
1.365000e-01,1.751121e-01
1.375000e-01,1.746303e-01
1.385000e-01,1.741486e-01
1.395000e-01,1.736669e-01
1.405000e-01,1.731851e-01
1.415000e-01,1.727034e-01
1.425000e-01,1.722216e-01
1.435000e-01,1.717399e-01
1.445000e-01,1.712582e-01
1.455000e-01,1.707764e-01
1.465000e-01,1.702947e-01
1.475000e-01,1.698129e-01
1.485000e-01,1.693312e-01
1.495000e-01,1.688495e-01
1.505000e-01,1.683677e-01
1.515000e-01,1.678860e-01
1.525000e-01,1.674043e-01
1.535000e-01,1.669225e-01
1.545000e-01,1.664408e-01
1.555000e-01,1.659590e-01
1.565000e-01,1.654773e-01
1.575000e-01,1.649956e-01
1.585000e-01,1.645138e-01
1.595000e-01,1.640321e-01
1.605000e-01,1.635503e-01
1.615000e-01,1.630686e-01
1.625000e-01,1.625869e-01
1.635000e-01,1.621051e-01
1.645000e-01,1.616234e-01
1.655000e-01,1.611416e-01
1.665000e-01,1.606599e-01
1.675000e-01,1.601782e-01
1.685000e-01,1.596964e-01
1.695000e-01,1.592147e-01
1.705000e-01,1.587330e-01
1.715000e-01,1.582512e-01
1.725000e-01,1.577695e-01
1.735000e-01,1.572877e-01
1.745000e-01,1.568060e-01
1.755000e-01,1.563243e-01
1.765000e-01,1.558425e-01
1.775000e-01,1.553608e-01
1.785000e-01,1.548790e-01
1.795000e-01,1.543973e-01
1.805000e-01,1.539156e-01
1.815000e-01,1.534338e-01
1.825000e-01,1.529521e-01
1.835000e-01,1.524704e-01
1.845000e-01,1.519886e-01
1.855000e-01,1.515069e-01
1.865000e-01,1.510251e-01
1.875000e-01,1.505434e-01
1.885000e-01,1.500617e-01
1.895000e-01,1.495799e-01
1.905000e-01,1.490982e-01
1.915000e-01,1.486164e-01
1.925000e-01,1.481347e-01
1.935000e-01,1.476530e-01
1.945000e-01,1.471712e-01
1.955000e-01,1.466895e-01
1.965000e-01,1.462077e-01
1.975000e-01,1.457260e-01
1.985000e-01,1.452443e-01
1.995000e-01,1.447625e-01
2.005000e-01,1.442808e-01
2.015000e-01,1.437991e-01
2.025000e-01,1.433173e-01
2.035000e-01,1.428356e-01
2.045000e-01,1.423538e-01
2.055000e-01,1.418721e-01
2.065000e-01,1.413904e-01
2.075000e-01,1.409086e-01
2.085000e-01,1.404269e-01
2.095000e-01,1.399451e-01
2.105000e-01,1.394634e-01
2.115000e-01,1.389817e-01
2.125000e-01,1.384999e-01
2.135000e-01,1.380182e-01
2.145000e-01,1.375364e-01
2.155000e-01,1.370547e-01
2.165000e-01,1.365730e-01
2.175000e-01,1.360912e-01
2.185000e-01,1.356095e-01
2.195000e-01,1.351278e-01
2.205000e-01,1.346460e-01
2.215000e-01,1.341643e-01
2.225000e-01,1.336825e-01
2.235000e-01,1.332008e-01
2.245000e-01,1.327191e-01
2.255000e-01,1.322373e-01
2.265000e-01,1.317556e-01
2.275000e-01,1.312738e-01
2.285000e-01,1.307921e-01
2.295000e-01,1.303104e-01
2.305000e-01,1.298286e-01
2.315000e-01,1.293469e-01
2.325000e-01,1.288651e-01
2.335000e-01,1.283834e-01
2.345000e-01,1.279017e-01
2.355000e-01,1.274199e-01
2.365000e-01,1.269382e-01
2.375000e-01,1.264565e-01
2.385000e-01,1.259747e-01
2.395000e-01,1.254930e-01
2.405000e-01,1.250112e-01
2.415000e-01,1.245295e-01
2.425000e-01,1.240478e-01
2.435000e-01,1.235660e-01
2.445000e-01,1.230843e-01
2.455000e-01,1.226025e-01
2.465000e-01,1.221208e-01
2.475000e-01,1.216391e-01
2.485000e-01,1.211573e-01
2.495000e-01,1.206756e-01
2.505000e-01,1.201938e-01
2.515000e-01,1.197121e-01
2.525000e-01,1.192304e-01
2.535000e-01,1.187486e-01
2.545000e-01,1.182669e-01
2.555000e-01,1.177852e-01
2.565000e-01,1.173034e-01
2.575000e-01,1.168217e-01
2.585000e-01,1.163399e-01
2.595000e-01,1.158582e-01
2.605000e-01,1.153765e-01
2.615000e-01,1.148947e-01
2.625000e-01,1.144130e-01
2.635000e-01,1.139312e-01
2.645000e-01,1.134495e-01
2.655000e-01,1.129678e-01
2.665000e-01,1.124860e-01
2.675000e-01,1.120043e-01
2.685000e-01,1.115225e-01
2.695000e-01,1.110408e-01
2.705000e-01,1.105591e-01
2.715000e-01,1.100773e-01
2.725000e-01,1.095956e-01
2.735000e-01,1.091139e-01
2.745000e-01,1.086321e-01
2.755000e-01,1.081504e-01
2.765000e-01,1.076686e-01
2.775000e-01,1.071869e-01
2.785000e-01,1.067052e-01
2.795000e-01,1.062234e-01
2.805000e-01,1.057417e-01
2.815000e-01,1.052599e-01
2.825000e-01,1.047782e-01
2.835000e-01,1.042965e-01
2.845000e-01,1.038147e-01
2.855000e-01,1.033330e-01
2.865000e-01,1.028512e-01
2.875000e-01,1.023695e-01
2.885000e-01,1.018878e-01
2.895000e-01,1.014060e-01
2.905000e-01,1.009243e-01
2.915000e-01,1.004426e-01
2.925000e-01,9.996081e-02
2.935000e-01,9.947908e-02
2.945000e-01,9.899734e-02
2.955000e-01,9.851560e-02
2.965000e-01,9.803386e-02
2.975000e-01,9.755212e-02
2.985000e-01,9.707038e-02
2.995000e-01,9.658864e-02
