r_m,r_over_R,u_analytical_m_s,u_over_umax,du_dr_analytical_per_s
0.000000e+00,0.0000,2.000000e-01,1.000000,-0.000000e+00
2.500000e-04,0.0500,1.995000e-01,0.997500,-4.000000e+00
5.000000e-04,0.1000,1.980000e-01,0.990000,-8.000000e+00
7.500000e-04,0.1500,1.955000e-01,0.977500,-1.200000e+01
1.000000e-03,0.2000,1.920000e-01,0.960000,-1.600000e+01
1.250000e-03,0.2500,1.875000e-01,0.937500,-2.000000e+01
1.500000e-03,0.3000,1.820000e-01,0.910000,-2.400000e+01
1.750000e-03,0.3500,1.755000e-01,0.877500,-2.800000e+01
2.000000e-03,0.4000,1.680000e-01,0.840000,-3.200000e+01
2.250000e-03,0.4500,1.595000e-01,0.797500,-3.600000e+01
2.500000e-03,0.5000,1.500000e-01,0.750000,-4.000000e+01
2.750000e-03,0.5500,1.395000e-01,0.697500,-4.400000e+01
3.000000e-03,0.6000,1.280000e-01,0.640000,-4.800000e+01
3.250000e-03,0.6500,1.155000e-01,0.577500,-5.200000e+01
3.500000e-03,0.7000,1.020000e-01,0.510000,-5.600000e+01
3.750000e-03,0.7500,8.750000e-02,0.437500,-6.000000e+01
4.000000e-03,0.8000,7.200000e-02,0.360000,-6.400000e+01
4.250000e-03,0.8500,5.550000e-02,0.277500,-6.800000e+01
4.500000e-03,0.9000,3.800000e-02,0.190000,-7.200000e+01
4.750000e-03,0.9500,1.950000e-02,0.097500,-7.600000e+01
5.000000e-03,1.0000,0.000000e+00,0.000000,-8.000000e+01
