j_radial_index,r_m,r_over_R,u_sampled_m_s,u_analytical_m_s,delta_pct_of_umax,p_kinematic_m2_s2,cx_m
0,1.368497e-04,0.027370,2.001086e-01,1.998502e-01,0.1292,1.2019e-01,0.250500
1,3.159410e-04,0.063188,1.995183e-01,1.992015e-01,0.1584,1.2019e-01,0.250500
2,5.081132e-04,0.101623,1.982690e-01,1.979346e-01,0.1672,1.2019e-01,0.250500
3,6.974743e-04,0.139495,1.964480e-01,1.961082e-01,0.1699,1.2019e-01,0.250500
4,8.824044e-04,0.176481,1.941093e-01,1.937709e-01,0.1692,1.2019e-01,0.250500
5,1.062569e-03,0.212514,1.913004e-01,1.909676e-01,0.1664,1.2019e-01,0.250500
6,1.237925e-03,0.247585,1.880644e-01,1.877403e-01,0.1620,1.2019e-01,0.250500
7,1.408527e-03,0.281705,1.844411e-01,1.841284e-01,0.1564,1.2019e-01,0.250500
8,1.574464e-03,0.314893,1.804679e-01,1.801685e-01,0.1497,1.2019e-01,0.250500
9,1.735842e-03,0.347168,1.761792e-01,1.758948e-01,0.1422,1.2019e-01,0.250500
10,1.892772e-03,0.378554,1.716073e-01,1.713393e-01,0.1340,1.2019e-01,0.250500
11,2.045369e-03,0.409074,1.667821e-01,1.665317e-01,0.1252,1.2019e-01,0.250500
12,2.193746e-03,0.438749,1.617315e-01,1.614998e-01,0.1158,1.2019e-01,0.250500
13,2.338017e-03,0.467603,1.564816e-01,1.562694e-01,0.1061,1.2019e-01,0.250500
14,2.478291e-03,0.495658,1.510565e-01,1.508646e-01,0.0960,1.2019e-01,0.250500
15,2.614678e-03,0.522936,1.454787e-01,1.453077e-01,0.0855,1.2019e-01,0.250500
16,2.747284e-03,0.549457,1.397690e-01,1.396194e-01,0.0748,1.2019e-01,0.250500
17,2.876213e-03,0.575243,1.339469e-01,1.338192e-01,0.0639,1.2019e-01,0.250500
18,3.001565e-03,0.600313,1.280303e-01,1.279249e-01,0.0527,1.2019e-01,0.250500
19,3.123439e-03,0.624688,1.220360e-01,1.219530e-01,0.0415,1.2019e-01,0.250500
20,3.241932e-03,0.648386,1.159792e-01,1.159190e-01,0.0301,1.2019e-01,0.250500
21,3.357136e-03,0.671427,1.098744e-01,1.098371e-01,0.0186,1.2019e-01,0.250500
22,3.469142e-03,0.693828,1.037347e-01,1.037204e-01,0.0071,1.2019e-01,0.250500
23,3.578040e-03,0.715608,9.757221e-02,9.758104e-02,-0.0044,1.2019e-01,0.250500
24,3.683915e-03,0.736783,9.139825e-02,9.143019e-02,-0.0160,1.2019e-01,0.250500
25,3.786850e-03,0.757370,8.522312e-02,8.527815e-02,-0.0275,1.2019e-01,0.250500
26,3.886927e-03,0.777385,7.905631e-02,7.913438e-02,-0.0390,1.2019e-01,0.250500
27,3.984226e-03,0.796845,7.290652e-02,7.300754e-02,-0.0505,1.2019e-01,0.250500
28,4.078823e-03,0.815765,6.678175e-02,6.690561e-02,-0.0619,1.2019e-01,0.250500
29,4.170794e-03,0.834159,6.068928e-02,6.083583e-02,-0.0733,1.2019e-01,0.250500
30,4.260211e-03,0.852042,5.463577e-02,5.480485e-02,-0.0845,1.2019e-01,0.250500
31,4.347144e-03,0.869429,4.862728e-02,4.881869e-02,-0.0957,1.2019e-01,0.250500
32,4.431664e-03,0.886333,4.266930e-02,4.288283e-02,-0.1068,1.2019e-01,0.250500
33,4.513837e-03,0.902767,3.676679e-02,3.700223e-02,-0.1177,1.2019e-01,0.250500
34,4.593727e-03,0.918745,3.092426e-02,3.118136e-02,-0.1285,1.2019e-01,0.250500
35,4.671399e-03,0.934280,2.514573e-02,2.542423e-02,-0.1393,1.2019e-01,0.250500
36,4.746914e-03,0.949383,1.943481e-02,1.973444e-02,-0.1498,1.2019e-01,0.250500
37,4.820332e-03,0.964066,1.379470e-02,1.411519e-02,-0.1602,1.2019e-01,0.250500
38,4.891711e-03,0.978342,8.228261e-03,8.569317e-03,-0.1705,1.2019e-01,0.250500
39,4.961107e-03,0.992221,2.737983e-03,3.099310e-03,-0.1807,1.2019e-01,0.250500
