face_index,x_approx_m,tau_magnitude_kin_m2_s2,delta_pct_vs_analytical,in_developed_region
0,0.0005,1.190111e-03,-0.8241,False
1,0.0015,1.236072e-03,3.0060,False
2,0.0025,1.195515e-03,-0.3737,False
3,0.0035,1.215683e-03,1.3069,False
4,0.0045,1.201949e-03,0.1624,False
5,0.0055,1.208704e-03,0.7254,False
6,0.0065,1.203946e-03,0.3288,False
7,0.0075,1.206052e-03,0.5044,False
8,0.0085,1.204354e-03,0.3628,False
9,0.0095,1.204951e-03,0.4126,False
10,0.0105,1.204286e-03,0.3572,False
11,0.0115,1.204427e-03,0.3689,False
12,0.0125,1.204123e-03,0.3436,False
13,0.0135,1.204123e-03,0.3436,False
14,0.0145,1.203962e-03,0.3302,False
15,0.0155,1.203920e-03,0.3267,False
16,0.0165,1.203822e-03,0.3185,False
17,0.0175,1.203774e-03,0.3145,False
18,0.0185,1.203707e-03,0.3089,False
19,0.0195,1.203663e-03,0.3053,False
20,0.0205,1.203614e-03,0.3012,False
21,0.0215,1.203577e-03,0.2981,False
22,0.0225,1.203539e-03,0.2949,False
23,0.0235,1.203508e-03,0.2924,False
24,0.0245,1.203479e-03,0.2899,False
25,0.0255,1.203453e-03,0.2878,False
26,0.0265,1.203429e-03,0.2858,False
27,0.0275,1.203408e-03,0.2840,False
28,0.0285,1.203389e-03,0.2824,False
29,0.0295,1.203372e-03,0.2810,False
30,0.0305,1.203356e-03,0.2797,False
31,0.0315,1.203342e-03,0.2785,False
32,0.0325,1.203329e-03,0.2774,False
33,0.0335,1.203317e-03,0.2764,False
34,0.0345,1.203306e-03,0.2755,False
35,0.0355,1.203297e-03,0.2747,False
36,0.0365,1.203288e-03,0.2740,False
37,0.0375,1.203280e-03,0.2733,False
38,0.0385,1.203273e-03,0.2727,False
39,0.0395,1.203266e-03,0.2722,False
40,0.0405,1.203260e-03,0.2717,False
41,0.0415,1.203255e-03,0.2712,False
42,0.0425,1.203250e-03,0.2708,False
43,0.0435,1.203246e-03,0.2705,False
44,0.0445,1.203241e-03,0.2701,False
45,0.0455,1.203238e-03,0.2698,False
46,0.0465,1.203234e-03,0.2695,False
47,0.0475,1.203231e-03,0.2693,False
48,0.0485,1.203229e-03,0.2690,False
49,0.0495,1.203226e-03,0.2688,False
50,0.0505,1.203224e-03,0.2686,True
51,0.0515,1.203222e-03,0.2685,True
52,0.0525,1.203220e-03,0.2683,True
53,0.0535,1.203218e-03,0.2682,True
54,0.0545,1.203217e-03,0.2680,True
55,0.0555,1.203215e-03,0.2679,True
56,0.0565,1.203214e-03,0.2678,True
57,0.0575,1.203213e-03,0.2677,True
58,0.0585,1.203212e-03,0.2676,True
59,0.0595,1.203211e-03,0.2675,True
60,0.0605,1.203210e-03,0.2675,True
61,0.0615,1.203209e-03,0.2674,True
62,0.0625,1.203208e-03,0.2673,True
63,0.0635,1.203208e-03,0.2673,True
64,0.0645,1.203207e-03,0.2672,True
65,0.0655,1.203206e-03,0.2672,True
66,0.0665,1.203206e-03,0.2672,True
67,0.0675,1.203205e-03,0.2671,True
68,0.0685,1.203205e-03,0.2671,True
69,0.0695,1.203205e-03,0.2671,True
70,0.0705,1.203204e-03,0.2670,True
71,0.0715,1.203204e-03,0.2670,True
