# Region type : patch intake_duct
# Faces        : 7104
# Area         : 4.6974926e+00
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
10             	-1.4092478e+00
20             	-1.4092478e+00
30             	-1.4092478e+00
40             	-1.4092478e+00
50             	-1.4092478e+00
60             	-1.4092478e+00
70             	-1.4092478e+00
80             	-1.4092478e+00
90             	-1.4092478e+00
100            	-1.4092478e+00
110            	-1.4092478e+00
120            	-1.4092478e+00
130            	-1.4092478e+00
140            	-1.4092478e+00
150            	-1.4092478e+00
160            	-1.4092478e+00
170            	-1.4092478e+00
180            	-1.4092478e+00
190            	-1.4092478e+00
200            	-1.4092478e+00
210            	-1.4092478e+00
220            	-1.4092478e+00
230            	-1.4092478e+00
240            	-1.4092478e+00
250            	-1.4092478e+00
260            	-1.4092478e+00
270            	-1.4092478e+00
280            	-1.4092478e+00
290            	-1.4092478e+00
300            	-1.4092478e+00
310            	-1.4092478e+00
320            	-1.4092478e+00
330            	-1.4092478e+00
340            	-1.4092478e+00
350            	-1.4092478e+00
360            	-1.4092478e+00
370            	-1.4092478e+00
380            	-1.4092478e+00
390            	-1.4092478e+00
400            	-1.4092478e+00
410            	-1.4092478e+00
420            	-1.4092478e+00
430            	-1.4092478e+00
440            	-1.4092478e+00
450            	-1.4092478e+00
460            	-1.4092478e+00
470            	-1.4092478e+00
480            	-1.4092478e+00
490            	-1.4092478e+00
500            	-1.4092478e+00
510            	-1.4092478e+00
520            	-1.4092478e+00
530            	-1.4092478e+00
540            	-1.4092478e+00
550            	-1.4092478e+00
560            	-1.4092478e+00
570            	-1.4092478e+00
580            	-1.4092478e+00
590            	-1.4092478e+00
600            	-1.4092478e+00
610            	-1.4092478e+00
620            	-1.4092478e+00
630            	-1.4092478e+00
640            	-1.4092478e+00
650            	-1.4092478e+00
660            	-1.4092478e+00
670            	-1.4092478e+00
680            	-1.4092478e+00
690            	-1.4092478e+00
700            	-1.4092478e+00
710            	-1.4092478e+00
720            	-1.4092478e+00
730            	-1.4092478e+00
740            	-1.4092478e+00
750            	-1.4092478e+00
760            	-1.4092478e+00
770            	-1.4092478e+00
780            	-1.4092478e+00
790            	-1.4092478e+00
800            	-1.4092478e+00
810            	-1.4092478e+00
820            	-1.4092478e+00
830            	-1.4092478e+00
840            	-1.4092478e+00
850            	-1.4092478e+00
860            	-1.4092478e+00
870            	-1.4092478e+00
880            	-1.4092478e+00
890            	-1.4092478e+00
900            	-1.4092478e+00
910            	-1.4092478e+00
920            	-1.4092478e+00
930            	-1.4092478e+00
940            	-1.4092478e+00
950            	-1.4092478e+00
960            	-1.4092478e+00
970            	-1.4092478e+00
980            	-1.4092478e+00
990            	-1.4092478e+00
1000           	-1.4092478e+00
1010           	-1.4092478e+00
1020           	-1.4092478e+00
1030           	-1.4092478e+00
1040           	-1.4092478e+00
1050           	-1.4092478e+00
1060           	-1.4092478e+00
1070           	-1.4092478e+00
