# Region type : patch vent_door
# Faces        : 660
# Area         : 4.2871990e-01
# Scale factor : 1.0000000e+00
# Time         	sum(phi)
10             	1.4081365e+00
20             	1.4092079e+00
30             	1.4086760e+00
40             	1.4095736e+00
50             	1.4085081e+00
60             	1.4100929e+00
70             	1.4091551e+00
80             	1.4090838e+00
90             	1.4092753e+00
100            	1.4091696e+00
110            	1.4092118e+00
120            	1.4090418e+00
130            	1.4092237e+00
140            	1.4086043e+00
150            	1.4094730e+00
160            	1.4092723e+00
170            	1.4091964e+00
180            	1.4092548e+00
190            	1.4090963e+00
200            	1.4093139e+00
210            	1.4092837e+00
220            	1.4092219e+00
230            	1.4092601e+00
240            	1.4092287e+00
250            	1.4092253e+00
260            	1.4092430e+00
270            	1.4092704e+00
280            	1.4091427e+00
290            	1.4092884e+00
300            	1.4093603e+00
310            	1.4093003e+00
320            	1.4094544e+00
330            	1.4093441e+00
340            	1.4093315e+00
350            	1.4092357e+00
360            	1.4094034e+00
370            	1.4092507e+00
380            	1.4092909e+00
390            	1.4092028e+00
400            	1.4092326e+00
410            	1.4092357e+00
420            	1.4092638e+00
430            	1.4092536e+00
440            	1.4092445e+00
450            	1.4092211e+00
460            	1.4092048e+00
470            	1.4093509e+00
480            	1.4092371e+00
490            	1.4092605e+00
500            	1.4092311e+00
510            	1.4092519e+00
520            	1.4092469e+00
530            	1.4092130e+00
540            	1.4095054e+00
550            	1.4094844e+00
560            	1.4089695e+00
570            	1.4092315e+00
580            	1.4092383e+00
590            	1.4091525e+00
600            	1.4090705e+00
610            	1.4092515e+00
620            	1.4091731e+00
630            	1.4091515e+00
640            	1.4093292e+00
650            	1.4092395e+00
660            	1.4092651e+00
670            	1.4092911e+00
680            	1.4092594e+00
690            	1.4094244e+00
700            	1.4090386e+00
710            	1.4092341e+00
720            	1.4092215e+00
730            	1.4092426e+00
740            	1.4092501e+00
750            	1.4093034e+00
760            	1.4092155e+00
770            	1.4092477e+00
780            	1.4092137e+00
790            	1.4092728e+00
800            	1.4092168e+00
810            	1.4092232e+00
820            	1.4092320e+00
830            	1.4092623e+00
840            	1.4094202e+00
850            	1.4091501e+00
860            	1.4090541e+00
870            	1.4094082e+00
880            	1.4091743e+00
890            	1.4092691e+00
900            	1.4091842e+00
910            	1.4092598e+00
920            	1.4091387e+00
930            	1.4094313e+00
940            	1.4094955e+00
950            	1.4092531e+00
960            	1.4091798e+00
970            	1.4093018e+00
980            	1.4092587e+00
990            	1.4092200e+00
1000           	1.4092469e+00
1010           	1.4091824e+00
1020           	1.4092600e+00
1030           	1.4092372e+00
1040           	1.4090551e+00
1050           	1.4092513e+00
1060           	1.4092623e+00
1070           	1.4093224e+00
1080           	1.4092866e+00
1090           	1.4092493e+00
1100           	1.4090525e+00
1110           	1.4091936e+00
1120           	1.4092677e+00
1130           	1.4092282e+00
1140           	1.4092371e+00
1150           	1.4092253e+00
1160           	1.4092443e+00
1170           	1.4092559e+00
1180           	1.4092240e+00
1190           	1.4090367e+00
1200           	1.4092599e+00
1210           	1.4092115e+00
1220           	1.4092623e+00
1230           	1.4092666e+00
1240           	1.4092716e+00
1250           	1.4093023e+00
1260           	1.4092594e+00
1270           	1.4090508e+00
1280           	1.4091570e+00
1290           	1.4092518e+00
1300           	1.4092761e+00
1310           	1.4092622e+00
1320           	1.4091163e+00
1330           	1.4092232e+00
1340           	1.4090281e+00
1350           	1.4092313e+00
1360           	1.4092528e+00
1370           	1.4090965e+00
1380           	1.4092263e+00
1390           	1.4092397e+00
1400           	1.4094801e+00
1410           	1.4092310e+00
1420           	1.4092552e+00
1430           	1.4092345e+00
1440           	1.4092424e+00
1450           	1.4092056e+00
1460           	1.4092340e+00
1470           	1.4092742e+00
1480           	1.4092604e+00
1490           	1.4090991e+00
1500           	1.4093387e+00
1510           	1.4092491e+00
1520           	1.4092150e+00
1530           	1.4093329e+00
1540           	1.4092661e+00
1550           	1.4091870e+00
1560           	1.4093699e+00
1570           	1.4092789e+00
1580           	1.4093195e+00
1590           	1.4092031e+00
1600           	1.4091678e+00
1610           	1.4092475e+00
1620           	1.4092212e+00
1630           	1.4091026e+00
1640           	1.4092430e+00
1650           	1.4091449e+00
1660           	1.4091650e+00
1670           	1.4092387e+00
1680           	1.4093805e+00
1690           	1.4092505e+00
1700           	1.4092445e+00
1710           	1.4092806e+00
1720           	1.4092111e+00
1730           	1.4091912e+00
1740           	1.4092690e+00
1750           	1.4092971e+00
1760           	1.4092491e+00
1770           	1.4092034e+00
1780           	1.4090701e+00
1790           	1.4092247e+00
1800           	1.4092392e+00
1810           	1.4092721e+00
1820           	1.4093274e+00
1830           	1.4091502e+00
1840           	1.4092404e+00
1850           	1.4092562e+00
1860           	1.4093978e+00
1870           	1.4092353e+00
1880           	1.4092470e+00
1890           	1.4093138e+00
1900           	1.4092326e+00
1910           	1.4092595e+00
1920           	1.4093345e+00
1930           	1.4093082e+00
1940           	1.4092880e+00
1950           	1.4092994e+00
1960           	1.4093820e+00
1970           	1.4090741e+00
1980           	1.4091409e+00
1990           	1.4090159e+00
2000           	1.4092022e+00
2010           	1.4092891e+00
2020           	1.4093827e+00
2030           	1.4092889e+00
2040           	1.4092460e+00
2050           	1.4093311e+00
2060           	1.4092420e+00
2070           	1.4092119e+00
2080           	1.4092445e+00
2090           	1.4091257e+00
2100           	1.4092897e+00
2110           	1.4093151e+00
2120           	1.4092335e+00
2130           	1.4092376e+00
2140           	1.4091737e+00
2150           	1.4091727e+00
2160           	1.4092966e+00
2170           	1.4092566e+00
2180           	1.4093774e+00
2190           	1.4090866e+00
2200           	1.4092981e+00
2210           	1.4092518e+00
2220           	1.4092798e+00
2230           	1.4092587e+00
2240           	1.4092179e+00
2250           	1.4092459e+00
2260           	1.4091558e+00
2270           	1.4092596e+00
2280           	1.4092221e+00
2290           	1.4092667e+00
2300           	1.4092776e+00
2310           	1.4092188e+00
2320           	1.4092663e+00
2330           	1.4094119e+00
2340           	1.4093171e+00
2350           	1.4091995e+00
2360           	1.4092628e+00
2370           	1.4090417e+00
2380           	1.4092293e+00
2390           	1.4091924e+00
2400           	1.4092447e+00
2410           	1.4092292e+00
2420           	1.4094660e+00
2430           	1.4091690e+00
2440           	1.4089825e+00
2450           	1.4092489e+00
2460           	1.4092730e+00
2470           	1.4092205e+00
2480           	1.4092769e+00
2490           	1.4092439e+00
2500           	1.4092392e+00
2510           	1.4092374e+00
2520           	1.4092334e+00
2530           	1.4092610e+00
2540           	1.4091504e+00
2550           	1.4092452e+00
2560           	1.4092515e+00
2570           	1.4092476e+00
2580           	1.4089285e+00
2590           	1.4092456e+00
2600           	1.4089208e+00
2610           	1.4092407e+00
2620           	1.4092825e+00
2630           	1.4092145e+00
2640           	1.4091434e+00
2650           	1.4091975e+00
2660           	1.4093535e+00
2670           	1.4091545e+00
2680           	1.4093585e+00
2690           	1.4092252e+00
2700           	1.4092733e+00
2710           	1.4092478e+00
2720           	1.4091648e+00
2730           	1.4093130e+00
2740           	1.4089869e+00
2750           	1.4092566e+00
2760           	1.4092541e+00
2770           	1.4092058e+00
2780           	1.4092877e+00
2790           	1.4092575e+00
2800           	1.4091039e+00
2810           	1.4092362e+00
2820           	1.4091897e+00
2830           	1.4092250e+00
2840           	1.4092561e+00
2850           	1.4092025e+00
2860           	1.4092407e+00
2870           	1.4091370e+00
2880           	1.4093421e+00
2890           	1.4091764e+00
2900           	1.4092411e+00
2910           	1.4090577e+00
2920           	1.4092292e+00
2930           	1.4092319e+00
2940           	1.4092542e+00
2950           	1.4090679e+00
2960           	1.4092547e+00
2970           	1.4092732e+00
2980           	1.4093546e+00
2990           	1.4092586e+00
3000           	1.4091613e+00
3010           	1.4090455e+00
3020           	1.4090644e+00
3030           	1.4092071e+00
3040           	1.4093087e+00
3050           	1.4091259e+00
3060           	1.4092113e+00
3070           	1.4091805e+00
3080           	1.4092258e+00
3090           	1.4094278e+00
3100           	1.4092232e+00
3110           	1.4092598e+00
3120           	1.4092503e+00
3130           	1.4092325e+00
3140           	1.4093199e+00
3150           	1.4093878e+00
3160           	1.4092554e+00
3170           	1.4092650e+00
3180           	1.4091199e+00
3190           	1.4092584e+00
3200           	1.4092574e+00
3210           	1.4093029e+00
3220           	1.4092526e+00
3230           	1.4092453e+00
3240           	1.4094608e+00
3250           	1.4092274e+00
3260           	1.4093399e+00
3270           	1.4091349e+00
3280           	1.4092453e+00
3290           	1.4092305e+00
3300           	1.4092456e+00
3310           	1.4092373e+00
3320           	1.4090467e+00
3330           	1.4092992e+00
3340           	1.4091854e+00
3350           	1.4093072e+00
3360           	1.4094486e+00
3370           	1.4092265e+00
3380           	1.4090642e+00
3390           	1.4094759e+00
3400           	1.4092005e+00
3410           	1.4091239e+00
3420           	1.4089486e+00
3430           	1.4092596e+00
3440           	1.4094665e+00
3450           	1.4092578e+00
3460           	1.4092309e+00
3470           	1.4091329e+00
3480           	1.4092149e+00
3490           	1.4091803e+00
3500           	1.4092736e+00
