# Force and moment coefficients
# dragDir       : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# rollAxis      : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# magUInf       : 4.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
50              	2.25501428e-01	1.12752245e-01	1.12749182e-01	9.77378936e-01	4.59178556e-01	5.18200380e-01	-2.95109124e-02	1.53149414e-06	-1.45381093e-05	-1.89613026e-05	-2.40187606e-05	5.05745802e-06
100             	2.41062467e-01	1.20548295e-01	1.20514172e-01	1.11152685e+00	5.26324290e-01	5.85202564e-01	-2.94391366e-02	1.70612713e-05	-5.63309183e-06	5.10080733e-06	-3.08268817e-06	8.18349549e-06
150             	2.38518830e-01	1.19267834e-01	1.19250996e-01	1.09842639e+00	5.20826807e-01	5.77599581e-01	-2.83863870e-02	8.41873227e-06	6.85411733e-06	1.33372417e-05	1.35227382e-05	-1.85496476e-07
200             	2.38956772e-01	1.19479841e-01	1.19476931e-01	1.10210524e+00	5.22451518e-01	5.79653721e-01	-2.86011018e-02	1.45532135e-06	-1.55845120e-05	-2.04325526e-05	-2.58007883e-05	5.36823575e-06
250             	2.38904636e-01	1.19456277e-01	1.19448359e-01	1.10139246e+00	5.22088700e-01	5.79303761e-01	-2.86075305e-02	3.95866258e-06	-5.21383150e-06	-5.30990152e-06	-7.86878226e-06	2.55888074e-06
300             	2.38939658e-01	1.19474553e-01	1.19465105e-01	1.10162224e+00	5.22210150e-01	5.79412090e-01	-2.86009698e-02	4.72392944e-06	-3.04517980e-06	-1.66588794e-06	-3.87812377e-06	2.21223584e-06
350             	2.38891831e-01	1.19443711e-01	1.19448121e-01	1.10149837e+00	5.22171996e-01	5.79326373e-01	-2.85771886e-02	-2.20495126e-06	-2.66448455e-05	-3.63052151e-05	-4.47974530e-05	8.49223797e-06
400             	2.38901571e-01	1.19461777e-01	1.19439794e-01	1.10163206e+00	5.22247729e-01	5.79384331e-01	-2.85683009e-02	1.09913898e-05	1.62953598e-05	2.67968662e-05	2.96937928e-05	-2.89692668e-06
450             	2.38926571e-01	1.19468489e-01	1.19458082e-01	1.10151269e+00	5.22139467e-01	5.79373226e-01	-2.86168795e-02	5.20360939e-06	-4.65509450e-06	-4.30293569e-06	-6.80656234e-06	2.50362665e-06
500             	2.38912420e-01	1.19467698e-01	1.19444722e-01	1.10158302e+00	5.22202975e-01	5.79380048e-01	-2.85885365e-02	1.14876503e-05	1.73912682e-05	2.82649286e-05	3.15237325e-05	-3.25880387e-06
