# y+ ()         
# Time          	patch           	min             	max             	average         
500             	naca0012	1.05826962e+01	4.62248802e+03	1.01264031e+03
1000            	naca0012	1.05597189e+01	4.62245713e+03	1.01274555e+03
1500            	naca0012	1.05470415e+01	4.62250833e+03	1.01277233e+03
2000            	naca0012	1.05701040e+01	4.62269440e+03	1.01278653e+03
2500            	naca0012	1.05676962e+01	4.62239584e+03	1.01274032e+03
3000            	naca0012	1.05722718e+01	4.62270331e+03	1.01272336e+03
3500            	naca0012	1.05583265e+01	4.62243280e+03	1.01271803e+03
4000            	naca0012	1.05788967e+01	4.62462675e+03	1.01389939e+03
4500            	naca0012	1.05666134e+01	4.62442021e+03	1.01381688e+03
5000            	naca0012	1.09953867e+01	4.62428947e+03	1.01525336e+03
