face_index,yPlus
0,198.479
1,192.847
2,187.46
3,182.255
4,177.265
5,172.505
6,167.984
7,163.7
8,159.629
9,155.723
10,151.905
11,148.039
12,143.909
13,139.396
14,134.325
15,128.364
16,121.092
17,111.97
18,100.346
19,85.3356
20,65.551
21,37.0369
22,27.7303
23,24.6013
24,23.6085
25,24.0412
26,25.8979
27,29.6918
28,36.5319
29,46.2024
30,136.145
31,144.211
32,148.521
33,152.22
34,155.221
35,157.761
36,159.95
37,161.878
38,163.609
39,165.196
40,166.682
41,168.102
42,169.486
43,170.861
44,172.253
45,173.683
46,175.172
47,176.737
48,178.395
49,180.159
50,182.039
51,184.039
52,186.159
53,188.389
54,190.709
55,193.074
56,195.416
57,197.621
58,199.48
59,200.687
60,136.145
61,144.211
62,148.521
63,152.22
64,155.221
65,157.761
66,159.95
67,161.878
68,163.609
69,165.196
70,166.682
71,168.102
72,169.486
73,170.861
74,172.253
75,173.683
76,175.172
77,176.737
78,178.395
79,180.159
80,182.039
81,184.039
82,186.159
83,188.389
84,190.709
85,193.074
86,195.416
87,197.621
88,199.48
89,200.687
90,198.479
91,192.847
92,187.46
93,182.255
94,177.265
95,172.505
96,167.984
97,163.7
98,159.629
99,155.723
100,151.905
101,148.039
102,143.909
103,139.396
104,134.325
105,128.364
106,121.092
107,111.97
108,100.346
109,85.3356
110,65.551
111,37.0369
112,27.7303
113,24.6013
114,23.6085
115,24.0412
116,25.8979
117,29.6918
118,36.5319
119,46.2024
