face_index,yPlus
0,137.898
1,133.907
2,130.045
3,126.263
4,122.604
5,119.092
6,115.757
7,112.626
8,109.731
9,107.102
10,104.765
11,102.734
12,100.995
13,99.4847
14,98.1787
15,97.0456
16,95.9744
17,94.7602
18,93.0734
19,90.4392
20,86.3123
21,79.8588
22,69.9738
23,54.769
24,28.2425
25,22.9695
26,22.3036
27,23.9713
28,28.1865
29,34.268
30,91.9511
31,98.8372
32,102.257
33,105.307
34,107.764
35,109.854
36,111.656
37,113.24
38,114.655
39,115.94
40,117.124
41,118.23
42,119.278
43,120.282
44,121.257
45,122.216
46,123.171
47,124.131
48,125.109
49,126.116
50,127.161
51,128.256
52,129.41
53,130.632
54,131.929
55,133.302
56,134.743
57,136.227
58,137.659
59,138.876
60,91.9511
61,98.8372
62,102.257
63,105.307
64,107.764
65,109.854
66,111.656
67,113.24
68,114.655
69,115.94
70,117.124
71,118.23
72,119.278
73,120.282
74,121.257
75,122.216
76,123.171
77,124.131
78,125.109
79,126.116
80,127.161
81,128.256
82,129.41
83,130.632
84,131.929
85,133.302
86,134.743
87,136.227
88,137.659
89,138.876
90,137.898
91,133.907
92,130.045
93,126.263
94,122.604
95,119.092
96,115.757
97,112.626
98,109.731
99,107.102
100,104.765
101,102.734
102,100.995
103,99.4847
104,98.1787
105,97.0456
106,95.9744
107,94.7602
108,93.0734
109,90.4392
110,86.3123
111,79.8588
112,69.9738
113,54.769
114,28.2425
115,22.9695
116,22.3036
117,23.9713
118,28.1865
119,34.268
