# V71.B backward_facing_step_lowre — downstream reattachment-floor faces
# derived from allPatches_3000.vtk via src.bfs_floor_region.bfs_floor_mask
# floor filter: y<0.05 AND x>0.05 AND x<29.5 (SINGLE SOURCE OF TRUTH)
x,y,yplus,tau_x
5.768699e-02,0.000000e+00,4.351710e-03,-9.519730e-06
1.737369e-01,0.000000e+00,9.368240e-03,-4.708270e-05
2.911467e-01,0.000000e+00,1.146860e-02,-7.055490e-05
4.099322e-01,0.000000e+00,1.150940e-02,-7.105830e-05
5.301096e-01,0.000000e+00,1.142910e-02,-7.006960e-05
6.516953e-01,0.000000e+00,1.198870e-02,-7.709970e-05
7.747056e-01,0.000000e+00,1.309400e-02,-9.197070e-05
8.991573e-01,0.000000e+00,1.407140e-02,-1.062140e-04
1.025067e+00,0.000000e+00,1.448730e-02,-1.125860e-04
1.152453e+00,0.000000e+00,1.354070e-02,-9.835300e-05
1.281331e+00,0.000000e+00,8.747900e-03,-4.105020e-05
1.411719e+00,0.000000e+00,1.203050e-02,7.763770e-05
1.543635e+00,0.000000e+00,2.179650e-02,2.548490e-04
1.677097e+00,0.000000e+00,2.956280e-02,4.688120e-04
1.812122e+00,0.000000e+00,3.598110e-02,6.944750e-04
1.948730e+00,0.000000e+00,4.129580e-02,9.147850e-04
2.086939e+00,0.000000e+00,4.572630e-02,1.121600e-03
2.226766e+00,0.000000e+00,4.945840e-02,1.312160e-03
2.368233e+00,0.000000e+00,5.263120e-02,1.485920e-03
2.511357e+00,0.000000e+00,5.534670e-02,1.643200e-03
2.656158e+00,0.000000e+00,5.767520e-02,1.784370e-03
2.802656e+00,0.000000e+00,5.964920e-02,1.908610e-03
2.950871e+00,0.000000e+00,6.127760e-02,2.014240e-03
3.100822e+00,0.000000e+00,6.256630e-02,2.099850e-03
3.252530e+00,0.000000e+00,6.350650e-02,2.163430e-03
3.406016e+00,0.000000e+00,6.407910e-02,2.202620e-03
3.561301e+00,0.000000e+00,6.426990e-02,2.215760e-03
3.718405e+00,0.000000e+00,6.406720e-02,2.201810e-03
3.877350e+00,0.000000e+00,6.344700e-02,2.159380e-03
4.038157e+00,0.000000e+00,6.238820e-02,2.087920e-03
4.200849e+00,0.000000e+00,6.088390e-02,1.988440e-03
4.365447e+00,0.000000e+00,5.891090e-02,1.861650e-03
4.531974e+00,0.000000e+00,5.643580e-02,1.708510e-03
4.700452e+00,0.000000e+00,5.343260e-02,1.531510e-03
4.870904e+00,0.000000e+00,4.986900e-02,1.334040e-03
5.043354e+00,0.000000e+00,4.568240e-02,1.119450e-03
5.217824e+00,0.000000e+00,4.076390e-02,8.913700e-04
5.394338e+00,0.000000e+00,3.491420e-02,6.539010e-04
5.572922e+00,0.000000e+00,2.769010e-02,4.112970e-04
5.753597e+00,0.000000e+00,1.768540e-02,1.677800e-04
5.936389e+00,0.000000e+00,1.163730e-02,-7.264560e-05
6.121324e+00,0.000000e+00,2.389730e-02,-3.063410e-04
6.308425e+00,0.000000e+00,3.144220e-02,-5.303140e-04
6.497720e+00,0.000000e+00,3.719440e-02,-7.421000e-04
6.689232e+00,0.000000e+00,4.185850e-02,-9.398870e-04
6.882987e+00,0.000000e+00,4.574240e-02,-1.122400e-03
7.079014e+00,0.000000e+00,4.902210e-02,-1.289110e-03
7.277337e+00,0.000000e+00,5.181530e-02,-1.440200e-03
7.477985e+00,0.000000e+00,5.419690e-02,-1.575640e-03
7.680983e+00,0.000000e+00,5.622520e-02,-1.695780e-03
7.886360e+00,0.000000e+00,5.795530e-02,-1.801740e-03
8.094144e+00,0.000000e+00,5.942600e-02,-1.894350e-03
8.304362e+00,0.000000e+00,6.067110e-02,-1.974570e-03
8.517044e+00,0.000000e+00,6.172420e-02,-2.043700e-03
8.732217e+00,0.000000e+00,6.260900e-02,-2.102720e-03
8.949913e+00,0.000000e+00,6.334910e-02,-2.152730e-03
9.170158e+00,0.000000e+00,6.396450e-02,-2.194750e-03
9.392985e+00,0.000000e+00,6.447300e-02,-2.229790e-03
9.618423e+00,0.000000e+00,6.489130e-02,-2.258810e-03
9.846502e+00,0.000000e+00,6.522970e-02,-2.282430e-03
1.007725e+01,0.000000e+00,6.549820e-02,-2.301260e-03
1.031071e+01,0.000000e+00,6.570590e-02,-2.315880e-03
1.054690e+01,0.000000e+00,6.586090e-02,-2.326820e-03
1.078586e+01,0.000000e+00,6.597030e-02,-2.334560e-03
1.102762e+01,0.000000e+00,6.604040e-02,-2.339520e-03
1.127221e+01,0.000000e+00,6.607660e-02,-2.342080e-03
1.151967e+01,0.000000e+00,6.608370e-02,-2.342590e-03
1.177003e+01,0.000000e+00,6.606600e-02,-2.341330e-03
1.202332e+01,0.000000e+00,6.602710e-02,-2.338580e-03
1.227958e+01,0.000000e+00,6.597030e-02,-2.334560e-03
1.253884e+01,0.000000e+00,6.589860e-02,-2.329480e-03
1.280114e+01,0.000000e+00,6.581430e-02,-2.323530e-03
1.306651e+01,0.000000e+00,6.571980e-02,-2.316860e-03
1.333499e+01,0.000000e+00,6.561700e-02,-2.309610e-03
1.360662e+01,0.000000e+00,6.550730e-02,-2.301900e-03
1.388143e+01,0.000000e+00,6.539240e-02,-2.293830e-03
1.415947e+01,0.000000e+00,6.527320e-02,-2.285480e-03
1.444076e+01,0.000000e+00,6.515080e-02,-2.276920e-03
1.472534e+01,0.000000e+00,6.502610e-02,-2.268200e-03
1.501326e+01,0.000000e+00,6.489960e-02,-2.259390e-03
1.530456e+01,0.000000e+00,6.477190e-02,-2.250510e-03
1.559926e+01,0.000000e+00,6.464360e-02,-2.241600e-03
1.589742e+01,0.000000e+00,6.451480e-02,-2.232680e-03
1.619908e+01,0.000000e+00,6.438600e-02,-2.223770e-03
1.650427e+01,0.000000e+00,6.425710e-02,-2.214880e-03
1.681303e+01,0.000000e+00,6.412850e-02,-2.206020e-03
1.712542e+01,0.000000e+00,6.400000e-02,-2.197190e-03
1.744146e+01,0.000000e+00,6.387070e-02,-2.188320e-03
1.776121e+01,0.000000e+00,6.373990e-02,-2.179370e-03
1.808470e+01,0.000000e+00,6.360740e-02,-2.170310e-03
1.841198e+01,0.000000e+00,6.347320e-02,-2.161170e-03
1.874310e+01,0.000000e+00,6.333800e-02,-2.151970e-03
1.907810e+01,0.000000e+00,6.320270e-02,-2.142790e-03
1.941703e+01,0.000000e+00,6.306730e-02,-2.133610e-03
1.975992e+01,0.000000e+00,6.293150e-02,-2.124430e-03
2.010684e+01,0.000000e+00,6.279570e-02,-2.115280e-03
2.045782e+01,0.000000e+00,6.266030e-02,-2.106160e-03
2.081291e+01,0.000000e+00,6.252510e-02,-2.097080e-03
2.117216e+01,0.000000e+00,6.238980e-02,-2.088020e-03
2.153562e+01,0.000000e+00,6.225450e-02,-2.078970e-03
2.190334e+01,0.000000e+00,6.211960e-02,-2.069970e-03
2.227537e+01,0.000000e+00,6.198520e-02,-2.061020e-03
2.265176e+01,0.000000e+00,6.185080e-02,-2.052100e-03
2.303256e+01,0.000000e+00,6.171650e-02,-2.043200e-03
2.341782e+01,0.000000e+00,6.158250e-02,-2.034330e-03
2.380760e+01,0.000000e+00,6.144890e-02,-2.025520e-03
2.420194e+01,0.000000e+00,6.131600e-02,-2.016760e-03
2.460091e+01,0.000000e+00,6.118340e-02,-2.008050e-03
2.500454e+01,0.000000e+00,6.105120e-02,-1.999380e-03
2.541291e+01,0.000000e+00,6.091930e-02,-1.990750e-03
2.582607e+01,0.000000e+00,6.078840e-02,-1.982200e-03
2.624406e+01,0.000000e+00,6.065780e-02,-1.973700e-03
2.666695e+01,0.000000e+00,6.052930e-02,-1.965350e-03
2.709480e+01,0.000000e+00,6.039860e-02,-1.956870e-03
2.752766e+01,0.000000e+00,6.027530e-02,-1.948880e-03
2.796560e+01,0.000000e+00,6.013850e-02,-1.940050e-03
2.840866e+01,0.000000e+00,6.003520e-02,-1.933390e-03
2.885692e+01,0.000000e+00,5.986370e-02,-1.922360e-03
2.931043e+01,0.000000e+00,5.984530e-02,-1.921180e-03
