# Force and moment coefficients
# dragDir       : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# rollAxis      : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# magUInf       : 2.49796991e+02
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e-03
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	8.63450068e-01	4.31725034e-01	4.31725034e-01	9.03652087e-01	1.08411081e-01	7.95241006e-01	-3.43414962e-01	-7.19575459e-21	-1.31206844e-20	6.84544132e-19	3.29151382e-19	3.55392750e-19
2               	4.93650959e-01	2.46825480e-01	2.46825480e-01	6.86630114e-01	8.12461908e-02	6.05383924e-01	-2.62068866e-01	-1.02610811e-20	-7.98162811e-20	2.51331539e-19	4.58494883e-20	2.05482050e-19
3               	2.97390743e-01	1.48695371e-01	1.48695371e-01	5.11792396e-01	1.10001767e-01	4.01790628e-01	-1.45894431e-01	1.73454455e-22	-2.29615993e-19	3.56764093e-19	-5.12339468e-20	4.07998040e-19
4               	2.34531227e-01	1.17265614e-01	1.17265614e-01	4.11374156e-01	9.25759623e-02	3.18798194e-01	-1.13111116e-01	3.42642066e-21	-8.13067448e-20	3.46393227e-19	9.18898687e-20	2.54503358e-19
5               	1.81111772e-01	9.05558860e-02	9.05558860e-02	2.59257959e-01	7.80527021e-02	1.81205257e-01	-5.15762777e-02	1.88343516e-22	-1.66818833e-19	2.12030247e-19	-6.08037092e-20	2.72833956e-19
6               	1.57443204e-01	7.87216018e-02	7.87216018e-02	2.32139594e-01	5.30557772e-02	1.79083817e-01	-6.30140198e-02	2.09961684e-21	-1.21681555e-19	2.58513729e-19	7.57530898e-21	2.50938420e-19
7               	1.43032309e-01	7.15161544e-02	7.15161544e-02	2.31277714e-01	4.10708702e-02	1.90206844e-01	-7.45679869e-02	2.28693993e-21	-1.18330343e-19	2.47732254e-19	5.53578446e-21	2.42196470e-19
8               	1.32213688e-01	6.61068439e-02	6.61068439e-02	2.36152954e-01	3.70106636e-02	1.99142290e-01	-8.10658132e-02	2.54431354e-21	-1.17053676e-19	2.34283471e-19	8.80601786e-23	2.34195411e-19
9               	1.22883024e-01	6.14415122e-02	6.14415122e-02	2.40607989e-01	3.46634972e-02	2.05944492e-01	-8.56404975e-02	2.77155011e-21	-1.16176094e-19	2.21384028e-19	-5.48407962e-21	2.26868107e-19
10              	1.14118277e-01	5.70591387e-02	5.70591387e-02	2.44929805e-01	3.33007853e-02	2.11629019e-01	-8.91641171e-02	2.97923779e-21	-1.16501032e-19	2.05456624e-19	-1.37727195e-20	2.19229344e-19
11              	1.05616757e-01	5.28083784e-02	5.28083784e-02	2.50438443e-01	3.32094988e-02	2.17228944e-01	-9.20097227e-02	3.18157947e-21	-1.16468286e-19	1.87402332e-19	-2.27671195e-20	2.10169452e-19
12              	9.74817318e-02	4.87408659e-02	4.87408659e-02	2.56951646e-01	3.41849671e-02	2.22766678e-01	-9.42908556e-02	3.38029123e-21	-1.16332575e-19	1.68159478e-19	-3.22528359e-20	2.00412313e-19
13              	8.98697273e-02	4.49348636e-02	4.49348636e-02	2.64535664e-01	3.58162287e-02	2.28719435e-01	-9.64516032e-02	3.57937055e-21	-1.16004316e-19	1.48107010e-19	-4.19508108e-20	1.90057821e-19
14              	8.28685859e-02	4.14342930e-02	4.14342930e-02	2.72697682e-01	3.78709501e-02	2.34826732e-01	-9.84778908e-02	3.79112175e-21	-1.15136017e-19	1.29483985e-19	-5.03940246e-20	1.79878009e-19
15              	7.66899928e-02	3.83449964e-02	3.83449964e-02	2.81517088e-01	4.00438042e-02	2.41473284e-01	-1.00714740e-01	3.97523191e-21	-1.14455894e-19	1.12573219e-19	-5.81692846e-20	1.70742504e-19
16              	7.13742345e-02	3.56871172e-02	3.56871172e-02	2.90342300e-01	4.21321997e-02	2.48210101e-01	-1.03038950e-01	4.13769846e-21	-1.13924516e-19	9.83237389e-20	-6.47626466e-20	1.63086385e-19
17              	6.69019958e-02	3.34509979e-02	3.34509979e-02	2.98611930e-01	4.40614574e-02	2.54550472e-01	-1.05244507e-01	4.28350597e-21	-1.13440870e-19	8.72369168e-20	-6.98224116e-20	1.57059328e-19
18              	6.32342447e-02	3.16171224e-02	3.16171224e-02	3.06163775e-01	4.58038346e-02	2.60359940e-01	-1.07278053e-01	4.41277497e-21	-1.13007523e-19	7.93975368e-20	-7.33087547e-20	1.52706291e-19
19              	6.02906969e-02	3.01453485e-02	3.01453485e-02	3.12846926e-01	4.73270999e-02	2.65519826e-01	-1.09096363e-01	4.53120641e-21	-1.12627748e-19	7.45184758e-20	-7.53685098e-20	1.49886986e-19
20              	5.79640879e-02	2.89820440e-02	2.89820440e-02	3.18600157e-01	4.86310646e-02	2.69969092e-01	-1.10669014e-01	4.64861432e-21	-1.12272451e-19	7.23072246e-20	-7.61188390e-20	1.48426064e-19
21              	5.61344987e-02	2.80672494e-02	2.80672494e-02	3.23513159e-01	4.97285739e-02	2.73784585e-01	-1.12028006e-01	4.77375224e-21	-1.11934080e-19	7.23635403e-20	-7.57523100e-20	1.48115850e-19
22              	5.46945957e-02	2.73472978e-02	2.73472978e-02	3.27733618e-01	5.06476708e-02	2.77085947e-01	-1.13219138e-01	4.91309556e-21	-1.11609929e-19	7.43121753e-20	-7.44538410e-20	1.48766016e-19
23              	5.35382631e-02	2.67691316e-02	2.67691316e-02	3.31444536e-01	5.14295323e-02	2.80015004e-01	-1.14292736e-01	5.07080537e-21	-1.11321165e-19	7.77377872e-20	-7.24522715e-20	1.50190059e-19
24              	5.25602013e-02	2.62801006e-02	2.62801006e-02	3.34860110e-01	5.21244389e-02	2.82735671e-01	-1.15305616e-01	5.25015168e-21	-1.11091344e-19	8.22124118e-20	-6.99851382e-20	1.52197550e-19
25              	5.16739883e-02	2.58369941e-02	2.58369941e-02	3.38171602e-01	5.27875756e-02	2.85384026e-01	-1.16298225e-01	5.45360271e-21	-1.10938892e-19	8.73640447e-20	-6.72568699e-20	1.54620915e-19
26              	5.08100494e-02	2.54050247e-02	2.54050247e-02	3.41574820e-01	5.34815022e-02	2.88093317e-01	-1.17305908e-01	5.68202200e-21	-1.10853482e-19	9.28740903e-20	-6.44164368e-20	1.57290527e-19
