# Region type : patch farfield
# Faces         : 1280
# Area          : 4.29356266e-01
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(T)	areaAverage(U)
1               	3.85380663e+04	2.88150000e+02	(2.49413885e+02 -7.54463565e-16 1.21535699e+01)
2               	3.85374643e+04	2.88150000e+02	(2.49394081e+02 -7.54418020e-16 1.21290453e+01)
3               	3.85370171e+04	2.88158127e+02	(2.49457105e+02 -7.54447032e-16 1.21172579e+01)
4               	3.85369225e+04	2.88166486e+02	(2.49530400e+02 -7.54478160e-16 1.21138461e+01)
5               	3.85371197e+04	2.88162175e+02	(2.49543866e+02 -7.54481944e-16 1.21165905e+01)
6               	3.85374704e+04	2.88147759e+02	(2.49520599e+02 -7.54476505e-16 1.21171853e+01)
7               	3.85378542e+04	2.88138049e+02	(2.49497258e+02 -7.54474630e-16 1.21134140e+01)
8               	3.85382141e+04	2.88138981e+02	(2.49486204e+02 -7.54472971e-16 1.21075655e+01)
9               	3.85385142e+04	2.88144755e+02	(2.49482752e+02 -7.54470340e-16 1.21000244e+01)
10              	3.85387463e+04	2.88149644e+02	(2.49482427e+02 -7.54470326e-16 1.20915808e+01)
11              	3.85389208e+04	2.88152777e+02	(2.49483905e+02 -7.54471393e-16 1.20831371e+01)
12              	3.85390576e+04	2.88155350e+02	(2.49486654e+02 -7.54474287e-16 1.20753831e+01)
13              	3.85391772e+04	2.88157694e+02	(2.49489751e+02 -7.54478845e-16 1.20687843e+01)
14              	3.85392989e+04	2.88159292e+02	(2.49492342e+02 -7.54484143e-16 1.20633535e+01)
15              	3.85394441e+04	2.88159731e+02	(2.49493824e+02 -7.54490875e-16 1.20589052e+01)
16              	3.85396302e+04	2.88158984e+02	(2.49493964e+02 -7.54499281e-16 1.20548942e+01)
17              	3.85398746e+04	2.88157007e+02	(2.49492690e+02 -7.54509011e-16 1.20513172e+01)
18              	3.85401959e+04	2.88153791e+02	(2.49490183e+02 -7.54520896e-16 1.20480488e+01)
19              	3.85406114e+04	2.88149481e+02	(2.49486813e+02 -7.54535673e-16 1.20447808e+01)
20              	3.85411376e+04	2.88144579e+02	(2.49483276e+02 -7.54553099e-16 1.20411689e+01)
21              	3.85417977e+04	2.88139878e+02	(2.49480432e+02 -7.54575208e-16 1.20370330e+01)
22              	3.85426135e+04	2.88136348e+02	(2.49479172e+02 -7.54600976e-16 1.20324742e+01)
23              	3.85436123e+04	2.88134720e+02	(2.49480051e+02 -7.54631201e-16 1.20276485e+01)
24              	3.85448232e+04	2.88135439e+02	(2.49483496e+02 -7.54666351e-16 1.20229335e+01)
25              	3.85462764e+04	2.88138640e+02	(2.49489557e+02 -7.54706375e-16 1.20186679e+01)
26              	3.85480027e+04	2.88144119e+02	(2.49498071e+02 -7.54751262e-16 1.20151756e+01)
27              	3.85500352e+04	2.88151170e+02	(2.49508495e+02 -7.54802027e-16 1.20127434e+01)
