# Selection type : patch fluid_to_solid
# Faces  :      200
# Area   :      2.00000000e-02
# Time          	areaIntegrate(wallHeatFlux)
1.01353         	4.62045776e+01
1.01359         	4.62126635e+01
1.01366         	4.62024025e+01
1.01371         	4.62023591e+01
1.01378         	4.61932064e+01
1.01385         	4.61864018e+01
1.01393         	4.61819502e+01
1.01401         	4.61805732e+01
1.01409         	4.61803707e+01
1.01417         	4.61810190e+01
1.01425         	4.61822574e+01
1.01433         	4.61836993e+01
1.01442         	4.61853953e+01
1.0145          	4.61871019e+01
1.01458         	4.61888323e+01
1.01466         	4.61905546e+01
1.01475         	4.61922903e+01
1.01483         	4.61941114e+01
1.01491         	4.61958833e+01
1.01499         	4.61977894e+01
1.01508         	4.61996909e+01
1.01516         	4.62018386e+01
1.01524         	4.62038896e+01
1.01533         	4.62063691e+01
1.01541         	4.62088010e+01
1.01549         	4.62120563e+01
1.01558         	4.62154629e+01
1.01566         	4.62203817e+01
1.01574         	4.62239734e+01
1.01583         	4.62333123e+01
1.01589         	4.62393361e+01
1.01596         	4.62386414e+01
1.01601         	4.62197242e+01
1.01607         	4.62082183e+01
1.01614         	4.61819364e+01
1.0162          	4.61640046e+01
1.01628         	4.61428912e+01
1.01635         	4.61306767e+01
1.01642         	4.61178886e+01
1.0165          	4.61082700e+01
1.01658         	4.60991487e+01
1.01665         	4.60917573e+01
1.01673         	4.60848962e+01
1.01681         	4.60791473e+01
1.01688         	4.60738005e+01
1.01696         	4.60694516e+01
1.01704         	4.60652528e+01
1.01712         	4.60621770e+01
1.0172          	4.60589998e+01
1.01728         	4.60573051e+01
1.01736         	4.60549102e+01
1.01745         	4.60548674e+01
1.01753         	4.60527334e+01
1.01761         	4.60557930e+01
1.01769         	4.60526439e+01
1.01777         	4.60621829e+01
1.01784         	4.60623435e+01
1.01789         	4.60693509e+01
1.01795         	4.60542747e+01
1.01801         	4.60453918e+01
