# Selection type : patch outlet
# Faces  :      60
# Area   :      1.25000000e-04
# Time          	average(T)
1.01353         	3.19398398e+02
1.01359         	3.19419985e+02
1.01366         	3.19400961e+02
1.01371         	3.19406261e+02
1.01378         	3.19403469e+02
1.01385         	3.19404864e+02
1.01393         	3.19399428e+02
1.01401         	3.19403063e+02
1.01409         	3.19397496e+02
1.01417         	3.19401733e+02
1.01425         	3.19394633e+02
1.01433         	3.19400531e+02
1.01442         	3.19392124e+02
1.0145          	3.19399947e+02
1.01458         	3.19389918e+02
1.01466         	3.19399938e+02
1.01475         	3.19388055e+02
1.01483         	3.19400456e+02
1.01491         	3.19386186e+02
1.01499         	3.19401426e+02
1.01508         	3.19384420e+02
1.01516         	3.19402791e+02
1.01524         	3.19382446e+02
1.01533         	3.19404627e+02
1.01541         	3.19380336e+02
1.01549         	3.19407078e+02
1.01558         	3.19378331e+02
1.01566         	3.19409556e+02
1.01574         	3.19374536e+02
1.01583         	3.19414426e+02
1.01589         	3.19376946e+02
1.01596         	3.19402582e+02
1.01601         	3.19379545e+02
1.01607         	3.19397484e+02
1.01614         	3.19379076e+02
1.0162          	3.19391121e+02
1.01628         	3.19377706e+02
1.01635         	3.19387760e+02
1.01642         	3.19375578e+02
1.0165          	3.19385390e+02
1.01658         	3.19373747e+02
1.01665         	3.19383869e+02
1.01673         	3.19372859e+02
1.01681         	3.19383736e+02
1.01688         	3.19372938e+02
1.01696         	3.19384762e+02
1.01704         	3.19373985e+02
1.01712         	3.19386979e+02
1.0172          	3.19375748e+02
1.01728         	3.19389989e+02
1.01736         	3.19378050e+02
1.01745         	3.19393857e+02
1.01753         	3.19380440e+02
1.01761         	3.19398781e+02
1.01769         	3.19382798e+02
1.01777         	3.19408092e+02
1.01784         	3.19381294e+02
1.01789         	3.19399810e+02
1.01795         	3.19388396e+02
1.01801         	3.19395515e+02
