# Selection type : patch inlet
# Faces  :      60
# Area   :      1.25000000e-04
# Time          	areaAverage(T)
1.01353         	3.00000000e+02
1.01359         	3.00000000e+02
1.01366         	3.00000000e+02
1.01371         	3.00000000e+02
1.01378         	3.00000000e+02
1.01385         	3.00000000e+02
1.01393         	3.00000000e+02
1.01401         	3.00000000e+02
1.01409         	3.00000000e+02
1.01417         	3.00000000e+02
1.01425         	3.00000000e+02
1.01433         	3.00000000e+02
1.01442         	3.00000000e+02
1.0145          	3.00000000e+02
1.01458         	3.00000000e+02
1.01466         	3.00000000e+02
1.01475         	3.00000000e+02
1.01483         	3.00000000e+02
1.01491         	3.00000000e+02
1.01499         	3.00000000e+02
1.01508         	3.00000000e+02
1.01516         	3.00000000e+02
1.01524         	3.00000000e+02
1.01533         	3.00000000e+02
1.01541         	3.00000000e+02
1.01549         	3.00000000e+02
1.01558         	3.00000000e+02
1.01566         	3.00000000e+02
1.01574         	3.00000000e+02
1.01583         	3.00000000e+02
1.01589         	3.00000000e+02
1.01596         	3.00000000e+02
1.01601         	3.00000000e+02
1.01607         	3.00000000e+02
1.01614         	3.00000000e+02
1.0162          	3.00000000e+02
1.01628         	3.00000000e+02
1.01635         	3.00000000e+02
1.01642         	3.00000000e+02
1.0165          	3.00000000e+02
1.01658         	3.00000000e+02
1.01665         	3.00000000e+02
1.01673         	3.00000000e+02
1.01681         	3.00000000e+02
1.01688         	3.00000000e+02
1.01696         	3.00000000e+02
1.01704         	3.00000000e+02
1.01712         	3.00000000e+02
1.0172          	3.00000000e+02
1.01728         	3.00000000e+02
1.01736         	3.00000000e+02
1.01745         	3.00000000e+02
1.01753         	3.00000000e+02
1.01761         	3.00000000e+02
1.01769         	3.00000000e+02
1.01777         	3.00000000e+02
1.01784         	3.00000000e+02
1.01789         	3.00000000e+02
1.01795         	3.00000000e+02
1.01801         	3.00000000e+02
