# Selection type : faceZone fdWindow
# Faces  :      50
# Area   :      5.00000000e-03
# Time          	areaAverage(T)
1.01353         	3.49819072e+02
1.01359         	3.49819072e+02
1.01366         	3.49819072e+02
1.01371         	3.49819072e+02
1.01378         	3.49819072e+02
1.01385         	3.49819073e+02
1.01393         	3.49819073e+02
1.01401         	3.49819072e+02
1.01409         	3.49819070e+02
1.01417         	3.49819069e+02
1.01425         	3.49819068e+02
1.01433         	3.49819066e+02
1.01442         	3.49819064e+02
1.0145          	3.49819063e+02
1.01458         	3.49819061e+02
1.01466         	3.49819059e+02
1.01475         	3.49819057e+02
1.01483         	3.49819054e+02
1.01491         	3.49819052e+02
1.01499         	3.49819049e+02
1.01508         	3.49819047e+02
1.01516         	3.49819044e+02
1.01524         	3.49819041e+02
1.01533         	3.49819038e+02
1.01541         	3.49819034e+02
1.01549         	3.49819031e+02
1.01558         	3.49819027e+02
1.01566         	3.49819023e+02
1.01574         	3.49819019e+02
1.01583         	3.49819014e+02
1.01589         	3.49819011e+02
1.01596         	3.49819005e+02
1.01601         	3.49819006e+02
1.01607         	3.49819010e+02
1.01614         	3.49819013e+02
1.0162          	3.49819019e+02
1.01628         	3.49819024e+02
1.01635         	3.49819028e+02
1.01642         	3.49819031e+02
1.0165          	3.49819033e+02
1.01658         	3.49819036e+02
1.01665         	3.49819038e+02
1.01673         	3.49819039e+02
1.01681         	3.49819041e+02
1.01688         	3.49819042e+02
1.01696         	3.49819044e+02
1.01704         	3.49819045e+02
1.01712         	3.49819045e+02
1.0172          	3.49819046e+02
1.01728         	3.49819046e+02
1.01736         	3.49819046e+02
1.01745         	3.49819046e+02
1.01753         	3.49819046e+02
1.01761         	3.49819045e+02
1.01769         	3.49819044e+02
1.01777         	3.49819043e+02
1.01784         	3.49819042e+02
1.01789         	3.49819039e+02
1.01795         	3.49819040e+02
1.01801         	3.49819044e+02
