# Selection type : patch inlet
# Faces  :      60
# Area   :      1.25000000e-04
# Time          	sum(phi)
1.01353         	-2.30750001e-03
1.01359         	-2.30750001e-03
1.01366         	-2.30750001e-03
1.01371         	-2.30750001e-03
1.01378         	-2.30750001e-03
1.01385         	-2.30750001e-03
1.01393         	-2.30750001e-03
1.01401         	-2.30750001e-03
1.01409         	-2.30750001e-03
1.01417         	-2.30750001e-03
1.01425         	-2.30750001e-03
1.01433         	-2.30750001e-03
1.01442         	-2.30750001e-03
1.0145          	-2.30750001e-03
1.01458         	-2.30750001e-03
1.01466         	-2.30750001e-03
1.01475         	-2.30750001e-03
1.01483         	-2.30750001e-03
1.01491         	-2.30750001e-03
1.01499         	-2.30750001e-03
1.01508         	-2.30750001e-03
1.01516         	-2.30750001e-03
1.01524         	-2.30750001e-03
1.01533         	-2.30750001e-03
1.01541         	-2.30750001e-03
1.01549         	-2.30750001e-03
1.01558         	-2.30750001e-03
1.01566         	-2.30750001e-03
1.01574         	-2.30750001e-03
1.01583         	-2.30750001e-03
1.01589         	-2.30750001e-03
1.01596         	-2.30750001e-03
1.01601         	-2.30750001e-03
1.01607         	-2.30750001e-03
1.01614         	-2.30750001e-03
1.0162          	-2.30750001e-03
1.01628         	-2.30750001e-03
1.01635         	-2.30750001e-03
1.01642         	-2.30750001e-03
1.0165          	-2.30750001e-03
1.01658         	-2.30750001e-03
1.01665         	-2.30750001e-03
1.01673         	-2.30750001e-03
1.01681         	-2.30750001e-03
1.01688         	-2.30750001e-03
1.01696         	-2.30750001e-03
1.01704         	-2.30750001e-03
1.01712         	-2.30750001e-03
1.0172          	-2.30750001e-03
1.01728         	-2.30750001e-03
1.01736         	-2.30750001e-03
1.01745         	-2.30750001e-03
1.01753         	-2.30750001e-03
1.01761         	-2.30750001e-03
1.01769         	-2.30750001e-03
1.01777         	-2.30750001e-03
1.01784         	-2.30750001e-03
1.01789         	-2.30750001e-03
1.01795         	-2.30750001e-03
1.01801         	-2.30750001e-03
