# Selection type : faceZone fdWindow
# Faces  :      50
# Area   :      5.00000000e-03
# Time          	areaAverage(wallHeatFlux)
1.01353         	1.92663556e+03
1.01359         	1.92617194e+03
1.01366         	1.92554137e+03
1.01371         	1.92517562e+03
1.01378         	1.92458441e+03
1.01385         	1.92415223e+03
1.01393         	1.92390547e+03
1.01401         	1.92376828e+03
1.01409         	1.92367766e+03
1.01417         	1.92358390e+03
1.01425         	1.92353959e+03
1.01433         	1.92349340e+03
1.01442         	1.92350747e+03
1.0145          	1.92352942e+03
1.01458         	1.92361197e+03
1.01466         	1.92371255e+03
1.01475         	1.92388102e+03
1.01483         	1.92407012e+03
1.01491         	1.92432137e+03
1.01499         	1.92458880e+03
1.01508         	1.92492129e+03
1.01516         	1.92526016e+03
1.01524         	1.92565549e+03
1.01533         	1.92605703e+03
1.01541         	1.92653534e+03
1.01549         	1.92701835e+03
1.01558         	1.92766389e+03
1.01566         	1.92821607e+03
1.01574         	1.92911705e+03
1.01583         	1.92957222e+03
1.01589         	1.93086257e+03
1.01596         	1.92987630e+03
1.01601         	1.92853535e+03
1.01607         	1.92695920e+03
1.01614         	1.92480679e+03
1.0162          	1.92312384e+03
1.01628         	1.92133157e+03
1.01635         	1.92019642e+03
1.01642         	1.91901617e+03
1.0165          	1.91800287e+03
1.01658         	1.91705007e+03
1.01665         	1.91617359e+03
1.01673         	1.91537856e+03
1.01681         	1.91463289e+03
1.01688         	1.91398014e+03
1.01696         	1.91337570e+03
1.01704         	1.91285966e+03
1.01712         	1.91240287e+03
1.0172          	1.91203360e+03
1.01728         	1.91173247e+03
1.01736         	1.91150835e+03
1.01745         	1.91135153e+03
1.01753         	1.91127807e+03
1.01761         	1.91124638e+03
1.01769         	1.91133983e+03
1.01777         	1.91125599e+03
1.01784         	1.91188762e+03
1.01789         	1.91149384e+03
1.01795         	1.91016053e+03
1.01801         	1.90898605e+03
