# Selection type : faceZone fdWindow
# Faces  :      50
# Area   :      5.00000000e-03
# Time          	areaIntegrate(wallHeatFlux)
1.01353         	9.63317781e+00
1.01359         	9.63085969e+00
1.01366         	9.62770687e+00
1.01371         	9.62587812e+00
1.01378         	9.62292207e+00
1.01385         	9.62076116e+00
1.01393         	9.61952735e+00
1.01401         	9.61884139e+00
1.01409         	9.61838830e+00
1.01417         	9.61791948e+00
1.01425         	9.61769793e+00
1.01433         	9.61746699e+00
1.01442         	9.61753737e+00
1.0145          	9.61764708e+00
1.01458         	9.61805984e+00
1.01466         	9.61856274e+00
1.01475         	9.61940508e+00
1.01483         	9.62035061e+00
1.01491         	9.62160685e+00
1.01499         	9.62294401e+00
1.01508         	9.62460643e+00
1.01516         	9.62630080e+00
1.01524         	9.62827744e+00
1.01533         	9.63028515e+00
1.01541         	9.63267672e+00
1.01549         	9.63509176e+00
1.01558         	9.63831946e+00
1.01566         	9.64108033e+00
1.01574         	9.64558523e+00
1.01583         	9.64786109e+00
1.01589         	9.65431283e+00
1.01596         	9.64938149e+00
1.01601         	9.64267675e+00
1.01607         	9.63479598e+00
1.01614         	9.62403394e+00
1.0162          	9.61561919e+00
1.01628         	9.60665785e+00
1.01635         	9.60098208e+00
1.01642         	9.59508084e+00
1.0165          	9.59001433e+00
1.01658         	9.58525034e+00
1.01665         	9.58086796e+00
1.01673         	9.57689282e+00
1.01681         	9.57316444e+00
1.01688         	9.56990068e+00
1.01696         	9.56687850e+00
1.01704         	9.56429831e+00
1.01712         	9.56201437e+00
1.0172          	9.56016802e+00
1.01728         	9.55866234e+00
1.01736         	9.55754175e+00
1.01745         	9.55675767e+00
1.01753         	9.55639037e+00
1.01761         	9.55623189e+00
1.01769         	9.55669914e+00
1.01777         	9.55627993e+00
1.01784         	9.55943812e+00
1.01789         	9.55746921e+00
1.01795         	9.55080263e+00
1.01801         	9.54493024e+00
