# Region type : patch obstacle
# Faces         : 80
# Area          : 3.15552180e-03
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(rho)	areaAverage(T)	areaAverage(Ma)
0.100096        	1.97404170e+00	2.24490235e+00	1.22919939e+00	1.61261908e+00
0.199809        	2.04162262e+00	2.29335262e+00	1.24367134e+00	1.52619166e+00
0.299828        	2.12601339e+00	2.36359782e+00	1.25418282e+00	1.48743672e+00
0.40022         	2.15621240e+00	2.38794796e+00	1.25782622e+00	1.46158683e+00
0.500214        	2.16981104e+00	2.39843746e+00	1.26079718e+00	1.44957561e+00
0.60021         	2.17026852e+00	2.40502330e+00	1.24787744e+00	1.44851937e+00
0.699822        	2.17313096e+00	2.40738589e+00	1.25241640e+00	1.44854465e+00
0.800111        	2.21544392e+00	2.43947635e+00	1.25930412e+00	1.44896097e+00
0.899857        	2.19807136e+00	2.42827115e+00	1.25576530e+00	1.44827078e+00
1.000005        	2.17272859e+00	2.40697268e+00	1.25052277e+00	1.44109212e+00
1.1003235       	2.18125371e+00	2.41391463e+00	1.25267454e+00	1.44401721e+00
1.19977681      	2.21290401e+00	2.43995348e+00	1.26025366e+00	1.44597107e+00
1.299796466     	2.19011207e+00	2.42327545e+00	1.25000669e+00	1.44417227e+00
1.3999419977    	2.17385908e+00	2.40635054e+00	1.25416733e+00	1.44177763e+00
1.50027349636   	2.20366236e+00	2.43376131e+00	1.25848183e+00	1.44483405e+00
1.599771381004  	2.20451411e+00	2.42701885e+00	1.26808710e+00	1.44540316e+00
1.7002620124716 	2.21070423e+00	2.43039332e+00	1.26831949e+00	1.44832861e+00
1.80018505421653	2.20396413e+00	2.42361397e+00	1.27091757e+00	1.44670084e+00
1.900307215298483	2.18800822e+00	2.41128481e+00	1.26801774e+00	1.44551373e+00
1.999697985860446	2.18793578e+00	2.41061881e+00	1.26918603e+00	1.44447375e+00
