iteration,Ux,Uy,p,k,omega
1,9.876e-01,9.876e-01,9.876e-01,9.876e-01,9.876e-01
2,9.753e-01,9.753e-01,9.753e-01,9.753e-01,9.753e-01
3,9.632e-01,9.632e-01,9.632e-01,9.632e-01,9.632e-01
4,9.512e-01,9.512e-01,9.512e-01,9.512e-01,9.512e-01
5,9.394e-01,9.394e-01,9.394e-01,9.394e-01,9.394e-01
6,9.277e-01,9.277e-01,9.277e-01,9.277e-01,9.277e-01
7,9.162e-01,9.162e-01,9.162e-01,9.162e-01,9.162e-01
8,9.048e-01,9.048e-01,9.048e-01,9.048e-01,9.048e-01
9,8.936e-01,8.936e-01,8.936e-01,8.936e-01,8.936e-01
10,8.825e-01,8.825e-01,8.825e-01,8.825e-01,8.825e-01
11,8.715e-01,8.715e-01,8.715e-01,8.715e-01,8.715e-01
12,8.607e-01,8.607e-01,8.607e-01,8.607e-01,8.607e-01
13,8.500e-01,8.500e-01,8.500e-01,8.500e-01,8.500e-01
14,8.395e-01,8.395e-01,8.395e-01,8.395e-01,8.395e-01
15,8.290e-01,8.290e-01,8.290e-01,8.290e-01,8.290e-01
16,8.187e-01,8.187e-01,8.187e-01,8.187e-01,8.187e-01
17,8.086e-01,8.086e-01,8.086e-01,8.086e-01,8.086e-01
18,7.985e-01,7.985e-01,7.985e-01,7.985e-01,7.985e-01
19,7.886e-01,7.886e-01,7.886e-01,7.886e-01,7.886e-01
20,7.788e-01,7.788e-01,7.788e-01,7.788e-01,7.788e-01
21,7.691e-01,7.691e-01,7.691e-01,7.691e-01,7.691e-01
22,7.596e-01,7.596e-01,7.596e-01,7.596e-01,7.596e-01
23,7.501e-01,7.501e-01,7.501e-01,7.501e-01,7.501e-01
24,7.408e-01,7.408e-01,7.408e-01,7.408e-01,7.408e-01
25,7.316e-01,7.316e-01,7.316e-01,7.316e-01,7.316e-01
26,7.225e-01,7.225e-01,7.225e-01,7.225e-01,7.225e-01
27,7.136e-01,7.136e-01,7.136e-01,7.136e-01,7.136e-01
28,7.047e-01,7.047e-01,7.047e-01,7.047e-01,7.047e-01
29,6.959e-01,6.959e-01,6.959e-01,6.959e-01,6.959e-01
30,6.873e-01,6.873e-01,6.873e-01,6.873e-01,6.873e-01
31,6.788e-01,6.788e-01,6.788e-01,6.788e-01,6.788e-01
32,6.703e-01,6.703e-01,6.703e-01,6.703e-01,6.703e-01
33,6.620e-01,6.620e-01,6.620e-01,6.620e-01,6.620e-01
34,6.538e-01,6.538e-01,6.538e-01,6.538e-01,6.538e-01
35,6.456e-01,6.456e-01,6.456e-01,6.456e-01,6.456e-01
36,6.376e-01,6.376e-01,6.376e-01,6.376e-01,6.376e-01
37,6.297e-01,6.297e-01,6.297e-01,6.297e-01,6.297e-01
38,6.219e-01,6.219e-01,6.219e-01,6.219e-01,6.219e-01
39,6.142e-01,6.142e-01,6.142e-01,6.142e-01,6.142e-01
40,6.065e-01,6.065e-01,6.065e-01,6.065e-01,6.065e-01
41,5.990e-01,5.990e-01,5.990e-01,5.990e-01,5.990e-01
42,5.916e-01,5.916e-01,5.916e-01,5.916e-01,5.916e-01
43,5.842e-01,5.842e-01,5.842e-01,5.842e-01,5.842e-01
44,5.769e-01,5.769e-01,5.769e-01,5.769e-01,5.769e-01
45,5.698e-01,5.698e-01,5.698e-01,5.698e-01,5.698e-01
46,5.627e-01,5.627e-01,5.627e-01,5.627e-01,5.627e-01
47,5.557e-01,5.557e-01,5.557e-01,5.557e-01,5.557e-01
48,5.488e-01,5.488e-01,5.488e-01,5.488e-01,5.488e-01
49,5.420e-01,5.420e-01,5.420e-01,5.420e-01,5.420e-01
50,5.353e-01,5.353e-01,5.353e-01,5.353e-01,5.353e-01
51,5.286e-01,5.286e-01,5.286e-01,5.286e-01,5.286e-01
52,5.220e-01,5.220e-01,5.220e-01,5.220e-01,5.220e-01
53,5.156e-01,5.156e-01,5.156e-01,5.156e-01,5.156e-01
54,5.092e-01,5.092e-01,5.092e-01,5.092e-01,5.092e-01
55,5.028e-01,5.028e-01,5.028e-01,5.028e-01,5.028e-01
56,4.966e-01,4.966e-01,4.966e-01,4.966e-01,4.966e-01
57,4.904e-01,4.904e-01,4.904e-01,4.904e-01,4.904e-01
58,4.843e-01,4.843e-01,4.843e-01,4.843e-01,4.843e-01
59,4.783e-01,4.783e-01,4.783e-01,4.783e-01,4.783e-01
60,4.724e-01,4.724e-01,4.724e-01,4.724e-01,4.724e-01
61,4.665e-01,4.665e-01,4.665e-01,4.665e-01,4.665e-01
62,4.607e-01,4.607e-01,4.607e-01,4.607e-01,4.607e-01
63,4.550e-01,4.550e-01,4.550e-01,4.550e-01,4.550e-01
64,4.493e-01,4.493e-01,4.493e-01,4.493e-01,4.493e-01
65,4.437e-01,4.437e-01,4.437e-01,4.437e-01,4.437e-01
66,4.382e-01,4.382e-01,4.382e-01,4.382e-01,4.382e-01
67,4.328e-01,4.328e-01,4.328e-01,4.328e-01,4.328e-01
68,4.274e-01,4.274e-01,4.274e-01,4.274e-01,4.274e-01
69,4.221e-01,4.221e-01,4.221e-01,4.221e-01,4.221e-01
70,4.169e-01,4.169e-01,4.169e-01,4.169e-01,4.169e-01
71,4.117e-01,4.117e-01,4.117e-01,4.117e-01,4.117e-01
72,4.066e-01,4.066e-01,4.066e-01,4.066e-01,4.066e-01
73,4.015e-01,4.015e-01,4.015e-01,4.015e-01,4.015e-01
74,3.965e-01,3.965e-01,3.965e-01,3.965e-01,3.965e-01
75,3.916e-01,3.916e-01,3.916e-01,3.916e-01,3.916e-01
76,3.867e-01,3.867e-01,3.867e-01,3.867e-01,3.867e-01
77,3.819e-01,3.819e-01,3.819e-01,3.819e-01,3.819e-01
78,3.772e-01,3.772e-01,3.772e-01,3.772e-01,3.772e-01
79,3.725e-01,3.725e-01,3.725e-01,3.725e-01,3.725e-01
80,3.679e-01,3.679e-01,3.679e-01,3.679e-01,3.679e-01
81,3.633e-01,3.633e-01,3.633e-01,3.633e-01,3.633e-01
82,3.588e-01,3.588e-01,3.588e-01,3.588e-01,3.588e-01
83,3.543e-01,3.543e-01,3.543e-01,3.543e-01,3.543e-01
84,3.499e-01,3.499e-01,3.499e-01,3.499e-01,3.499e-01
85,3.456e-01,3.456e-01,3.456e-01,3.456e-01,3.456e-01
86,3.413e-01,3.413e-01,3.413e-01,3.413e-01,3.413e-01
87,3.371e-01,3.371e-01,3.371e-01,3.371e-01,3.371e-01
88,3.329e-01,3.329e-01,3.329e-01,3.329e-01,3.329e-01
89,3.287e-01,3.287e-01,3.287e-01,3.287e-01,3.287e-01
90,3.247e-01,3.247e-01,3.247e-01,3.247e-01,3.247e-01
91,3.206e-01,3.206e-01,3.206e-01,3.206e-01,3.206e-01
92,3.166e-01,3.166e-01,3.166e-01,3.166e-01,3.166e-01
93,3.127e-01,3.127e-01,3.127e-01,3.127e-01,3.127e-01
94,3.088e-01,3.088e-01,3.088e-01,3.088e-01,3.088e-01
95,3.050e-01,3.050e-01,3.050e-01,3.050e-01,3.050e-01
96,3.012e-01,3.012e-01,3.012e-01,3.012e-01,3.012e-01
97,2.975e-01,2.975e-01,2.975e-01,2.975e-01,2.975e-01
98,2.938e-01,2.938e-01,2.938e-01,2.938e-01,2.938e-01
99,2.901e-01,2.901e-01,2.901e-01,2.901e-01,2.901e-01
100,2.865e-01,2.865e-01,2.865e-01,2.865e-01,2.865e-01
101,2.829e-01,2.829e-01,2.829e-01,2.829e-01,2.829e-01
102,2.794e-01,2.794e-01,2.794e-01,2.794e-01,2.794e-01
103,2.760e-01,2.760e-01,2.760e-01,2.760e-01,2.760e-01
104,2.725e-01,2.725e-01,2.725e-01,2.725e-01,2.725e-01
105,2.691e-01,2.691e-01,2.691e-01,2.691e-01,2.691e-01
106,2.658e-01,2.658e-01,2.658e-01,2.658e-01,2.658e-01
107,2.625e-01,2.625e-01,2.625e-01,2.625e-01,2.625e-01
108,2.592e-01,2.592e-01,2.592e-01,2.592e-01,2.592e-01
109,2.560e-01,2.560e-01,2.560e-01,2.560e-01,2.560e-01
110,2.528e-01,2.528e-01,2.528e-01,2.528e-01,2.528e-01
111,2.497e-01,2.497e-01,2.497e-01,2.497e-01,2.497e-01
112,2.466e-01,2.466e-01,2.466e-01,2.466e-01,2.466e-01
113,2.435e-01,2.435e-01,2.435e-01,2.435e-01,2.435e-01
114,2.405e-01,2.405e-01,2.405e-01,2.405e-01,2.405e-01
115,2.375e-01,2.375e-01,2.375e-01,2.375e-01,2.375e-01
116,2.346e-01,2.346e-01,2.346e-01,2.346e-01,2.346e-01
117,2.317e-01,2.317e-01,2.317e-01,2.317e-01,2.317e-01
118,2.288e-01,2.288e-01,2.288e-01,2.288e-01,2.288e-01
119,2.259e-01,2.259e-01,2.259e-01,2.259e-01,2.259e-01
120,2.231e-01,2.231e-01,2.231e-01,2.231e-01,2.231e-01
121,2.204e-01,2.204e-01,2.204e-01,2.204e-01,2.204e-01
122,2.176e-01,2.176e-01,2.176e-01,2.176e-01,2.176e-01
123,2.149e-01,2.149e-01,2.149e-01,2.149e-01,2.149e-01
124,2.122e-01,2.122e-01,2.122e-01,2.122e-01,2.122e-01
125,2.096e-01,2.096e-01,2.096e-01,2.096e-01,2.096e-01
126,2.070e-01,2.070e-01,2.070e-01,2.070e-01,2.070e-01
127,2.044e-01,2.044e-01,2.044e-01,2.044e-01,2.044e-01
128,2.019e-01,2.019e-01,2.019e-01,2.019e-01,2.019e-01
129,1.994e-01,1.994e-01,1.994e-01,1.994e-01,1.994e-01
130,1.969e-01,1.969e-01,1.969e-01,1.969e-01,1.969e-01
131,1.945e-01,1.945e-01,1.945e-01,1.945e-01,1.945e-01
132,1.920e-01,1.920e-01,1.920e-01,1.920e-01,1.920e-01
133,1.897e-01,1.897e-01,1.897e-01,1.897e-01,1.897e-01
134,1.873e-01,1.873e-01,1.873e-01,1.873e-01,1.873e-01
135,1.850e-01,1.850e-01,1.850e-01,1.850e-01,1.850e-01
136,1.827e-01,1.827e-01,1.827e-01,1.827e-01,1.827e-01
137,1.804e-01,1.804e-01,1.804e-01,1.804e-01,1.804e-01
138,1.782e-01,1.782e-01,1.782e-01,1.782e-01,1.782e-01
139,1.760e-01,1.760e-01,1.760e-01,1.760e-01,1.760e-01
140,1.738e-01,1.738e-01,1.738e-01,1.738e-01,1.738e-01
141,1.716e-01,1.716e-01,1.716e-01,1.716e-01,1.716e-01
142,1.695e-01,1.695e-01,1.695e-01,1.695e-01,1.695e-01
143,1.674e-01,1.674e-01,1.674e-01,1.674e-01,1.674e-01
144,1.653e-01,1.653e-01,1.653e-01,1.653e-01,1.653e-01
145,1.632e-01,1.632e-01,1.632e-01,1.632e-01,1.632e-01
146,1.612e-01,1.612e-01,1.612e-01,1.612e-01,1.612e-01
147,1.592e-01,1.592e-01,1.592e-01,1.592e-01,1.592e-01
148,1.572e-01,1.572e-01,1.572e-01,1.572e-01,1.572e-01
149,1.553e-01,1.553e-01,1.553e-01,1.553e-01,1.553e-01
150,1.534e-01,1.534e-01,1.534e-01,1.534e-01,1.534e-01
