x_m,Cf
-5.024120000e-02,2.880000000e-03
-2.291080000e-02,2.850000000e-03
-1.021080000e-02,3.110000000e-03
6.146800000e-03,9.000000000e-05
2.291080000e-02,-1.100000000e-04
3.561080000e-02,-5.200000000e-04
4.831080000e-02,-1.020000000e-03
6.101080000e-02,-8.200000000e-04
7.470140000e-02,-2.200000000e-04
9.004300000e-02,4.500000000e-04
1.013206000e-01,1.020000000e-03
1.167892000e-01,1.180000000e-03
1.421892000e-01,1.540000000e-03
1.675892000e-01,1.730000000e-03
2.056892000e-01,1.910000000e-03
2.564892000e-01,2.020000000e-03
3.065272000e-01,2.040000000e-03
3.572510000e-01,2.050000000e-03
4.088892000e-01,2.120000000e-03
4.571238000e-01,2.300000000e-03
