name,x_m,value,units,source
skin_friction_coefficient,1.000000e-02,6.062680e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.000000e-02,6.064000e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.000000e-02,6.042520e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.000000e-02,6.044660e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.000000e-02,6.042520e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.100000e-01,6.065080e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.300000e-01,6.063520e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.500000e-01,6.068340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.700000e-01,6.044040e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.900000e-01,6.036460e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.100000e-01,6.034140e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.300000e-01,6.033440e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.500000e-01,6.033200e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.700000e-01,6.032800e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.900000e-01,6.041540e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.100000e-01,6.041260e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.300000e-01,6.064760e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.500000e-01,6.073060e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.700000e-01,6.075020e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.900000e-01,6.064340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.100000e-01,6.068400e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.300000e-01,6.069900e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.500000e-01,6.070540e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.700000e-01,6.070860e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.900000e-01,6.071040e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.100000e-01,6.071080e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.300000e-01,6.071060e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.500000e-01,6.070980e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.700000e-01,6.070920e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.900000e-01,6.070880e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.100000e-01,6.070880e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.300000e-01,6.070880e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.500000e-01,6.070900e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.700000e-01,6.070880e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.900000e-01,6.070840e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.100000e-01,6.070780e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.300000e-01,6.070720e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.500000e-01,6.070700e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.700000e-01,6.070720e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.900000e-01,6.044841e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.100000e-01,6.036800e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.300000e-01,6.034420e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.500000e-01,6.033740e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.700000e-01,6.033540e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.900000e-01,6.033440e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.100000e-01,6.033340e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.300000e-01,6.033280e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.500000e-01,6.033260e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.700000e-01,6.033260e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.900000e-01,6.033260e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.010000e+00,6.033280e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.030000e+00,6.033280e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.050000e+00,6.033280e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.070000e+00,6.033300e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.090000e+00,6.033300e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.110000e+00,6.033300e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.130000e+00,6.033300e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.150000e+00,6.033320e-03,dimensionless,openfoam_wallShearStress
