iter,Ux,Uy,k,omega,p
1,1.000000e+00,7.684390e-02,1.000000e+00,3.483340e-02,1.000000e+00
2,4.184600e-01,5.745360e-01,2.545790e-01,1.115770e-02,8.696340e-02
3,2.314530e-01,3.760770e-01,3.118280e-01,2.241700e-02,9.702360e-02
4,1.444170e-01,2.388420e-01,2.780230e-01,3.759730e-02,2.037950e-01
5,1.005540e-01,1.063330e-01,2.007250e-01,3.616640e-02,9.350760e-02
6,7.537650e-02,1.357300e-01,1.852420e-01,1.990470e-02,2.222190e-01
7,6.581160e-02,2.352910e-01,1.439550e-01,1.473380e-02,2.695070e-01
8,5.337640e-02,2.726580e-01,1.324520e-01,1.857500e-02,2.202340e-01
9,4.855040e-02,2.611210e-01,1.328740e-01,1.011180e-02,1.564410e-01
10,4.098910e-02,1.402710e-01,9.445630e-02,1.763010e-02,7.478350e-01
11,3.856240e-02,1.465630e-01,1.110640e-01,8.922080e-03,2.097100e-01
12,3.282780e-02,1.847970e-01,6.916490e-02,1.601290e-02,4.076340e-01
13,3.203690e-02,2.117050e-01,8.431780e-02,9.908320e-03,2.603310e-01
14,2.687950e-02,2.239620e-01,5.221410e-02,1.243010e-02,3.632440e-01
15,2.713350e-02,1.702770e-01,4.072960e-02,1.120700e-02,3.055010e-01
16,2.613110e-02,1.631270e-01,5.221240e-02,8.861880e-03,4.387500e-01
17,2.353900e-02,1.545400e-01,5.106890e-02,8.714320e-03,4.543800e-01
18,2.200810e-02,2.145930e-01,2.478760e-02,9.930320e-03,2.493250e-01
19,2.075500e-02,2.166460e-01,2.038210e-02,8.867170e-03,2.374240e-01
20,1.973180e-02,1.450440e-01,1.603870e-02,8.293920e-03,3.620500e-01
21,1.860840e-02,1.120660e-01,1.364840e-02,7.822270e-03,2.984630e-01
22,1.739560e-02,1.149400e-01,1.310270e-02,7.339970e-03,1.519100e-01
23,1.635300e-02,1.284210e-01,1.315510e-02,7.029390e-03,2.206560e-01
24,1.555010e-02,1.491890e-01,1.343590e-02,6.768260e-03,4.507750e-01
25,1.483500e-02,1.443000e-01,1.306800e-02,6.517720e-03,4.134600e-01
26,1.407010e-02,1.203050e-01,1.244450e-02,6.215230e-03,5.374250e-01
