# Residuals   
# Time        	Ux            	Uy            	p             	k             	omega         
0             	N/A	N/A	N/A	N/A
1             	1.000000e+00	7.684389e-02	1.000000e+00	1.000000e+00	3.483340e-02
2             	4.184598e-01	5.745356e-01	8.696341e-02	2.545793e-01	1.115769e-02
3             	2.314534e-01	3.760773e-01	9.702359e-02	3.118278e-01	2.241705e-02
4             	1.444172e-01	2.388419e-01	2.037948e-01	2.780229e-01	3.759727e-02
5             	1.005538e-01	1.063331e-01	9.350760e-02	2.007252e-01	3.616641e-02
6             	7.537649e-02	1.357298e-01	2.222186e-01	1.852424e-01	1.990468e-02
7             	6.581162e-02	2.352906e-01	2.695066e-01	1.439546e-01	1.473378e-02
8             	5.337642e-02	2.726584e-01	2.202340e-01	1.324522e-01	1.857495e-02
9             	4.855041e-02	2.611210e-01	1.564413e-01	1.328740e-01	1.011183e-02
10            	4.098912e-02	1.402712e-01	7.478350e-01	9.445634e-02	1.763007e-02
11            	3.856243e-02	1.465630e-01	2.097099e-01	1.110644e-01	8.922078e-03
12            	3.282779e-02	1.847974e-01	4.076340e-01	6.916492e-02	1.601292e-02
13            	3.203686e-02	2.117051e-01	2.603311e-01	8.431778e-02	9.908318e-03
14            	2.687948e-02	2.239617e-01	3.632437e-01	5.221409e-02	1.243014e-02
15            	2.713346e-02	1.702773e-01	3.055010e-01	4.072958e-02	1.120704e-02
16            	2.613105e-02	1.631273e-01	4.387499e-01	5.221243e-02	8.861880e-03
17            	2.353897e-02	1.545395e-01	4.543799e-01	5.106888e-02	8.714315e-03
18            	2.200813e-02	2.145926e-01	2.493246e-01	2.478762e-02	9.930317e-03
19            	2.075505e-02	2.166457e-01	2.374237e-01	2.038215e-02	8.867169e-03
20            	1.973177e-02	1.450444e-01	3.620505e-01	1.603873e-02	8.293923e-03
21            	1.860839e-02	1.120657e-01	2.984626e-01	1.364841e-02	7.822272e-03
22            	1.739560e-02	1.149402e-01	1.519101e-01	1.310266e-02	7.339965e-03
23            	1.635304e-02	1.284210e-01	2.206562e-01	1.315507e-02	7.029391e-03
24            	1.555012e-02	1.491886e-01	4.507748e-01	1.343591e-02	6.768256e-03
25            	1.483504e-02	1.442996e-01	4.134604e-01	1.306802e-02	6.517716e-03
26            	1.407009e-02	1.203053e-01	5.374247e-01	1.244454e-02	6.215234e-03
27            	1.338016e-02	1.002007e-01	2.595256e-01	1.172217e-02	5.999625e-03
28            	1.287748e-02	9.503893e-02	1.881406e-01	1.096620e-02	5.799579e-03
29            	1.237919e-02	1.015866e-01	2.066250e-01	1.031257e-02	5.597593e-03
30            	1.184733e-02	1.087018e-01	3.017939e-01	9.832392e-03	5.403554e-03
31            	1.138645e-02	1.035910e-01	3.145180e-01	9.419663e-03	5.241163e-03
32            	1.100361e-02	8.641963e-02	2.540692e-01	9.057652e-03	5.103794e-03
33            	1.060036e-02	7.291637e-02	1.916477e-01	8.782005e-03	4.930911e-03
34            	1.017432e-02	7.106375e-02	1.588218e-01	8.590588e-03	4.772978e-03
35            	9.791765e-03	7.722924e-02	1.521835e-01	8.431532e-03	4.629702e-03
36            	9.458417e-03	8.083528e-02	1.878225e-01	8.284854e-03	4.529450e-03
37            	9.131418e-03	7.544467e-02	1.978023e-01	8.155822e-03	4.416800e-03
38            	8.831358e-03	6.552728e-02	1.612065e-01	8.003270e-03	4.291696e-03
39            	8.534361e-03	5.969931e-02	1.334394e-01	7.860165e-03	4.169728e-03
40            	8.274588e-03	5.855567e-02	1.216022e-01	7.746524e-03	4.067482e-03
41            	8.040340e-03	6.197042e-02	1.192275e-01	7.657586e-03	3.992587e-03
42            	7.822487e-03	6.201367e-02	1.210546e-01	7.574175e-03	3.911729e-03
43            	7.586478e-03	5.825126e-02	1.261689e-01	7.485183e-03	3.820714e-03
44            	7.344661e-03	5.351759e-02	1.205599e-01	7.411927e-03	3.724146e-03
