# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	bottomWall	(-5.000000e-01 0.000000e+00 0.000000e+00)	(-5.000000e-01 0.000000e+00 0.000000e+00)
0.000000e+00	topWall	(-5.000000e-01 0.000000e+00 0.000000e+00)	(-5.000000e-01 0.000000e+00 0.000000e+00)
1.000000e+02	bottomWall	(-2.658188e-01 -1.517477e-06 0.000000e+00)	(-2.654196e-01 6.056733e-07 0.000000e+00)
1.000000e+02	topWall	(-2.650490e-01 -6.840660e-07 0.000000e+00)	(-2.646406e-01 1.723836e-06 0.000000e+00)
2.000000e+02	bottomWall	(-2.944104e-01 -4.981528e-05 0.000000e+00)	(-2.934239e-01 5.730955e-05 0.000000e+00)
2.000000e+02	topWall	(-2.931225e-01 -3.182629e-05 0.000000e+00)	(-2.927135e-01 3.953079e-05 0.000000e+00)
3.000000e+02	bottomWall	(-3.044558e-01 -6.417719e-05 0.000000e+00)	(-3.005181e-01 1.248513e-04 0.000000e+00)
3.000000e+02	topWall	(-3.015756e-01 -8.745887e-05 0.000000e+00)	(-3.007052e-01 5.303987e-05 0.000000e+00)
4.000000e+02	bottomWall	(-3.033220e-01 -1.211042e-04 0.000000e+00)	(-3.014124e-01 1.306528e-04 0.000000e+00)
4.000000e+02	topWall	(-3.032336e-01 -1.285343e-04 0.000000e+00)	(-3.013767e-01 5.758814e-05 0.000000e+00)
5.000000e+02	bottomWall	(-3.035986e-01 -1.213225e-04 0.000000e+00)	(-3.015519e-01 1.308003e-04 0.000000e+00)
5.000000e+02	topWall	(-3.035267e-01 -1.287787e-04 0.000000e+00)	(-3.015730e-01 5.769969e-05 0.000000e+00)
6.000000e+02	bottomWall	(-3.036795e-01 -1.213786e-04 0.000000e+00)	(-3.015976e-01 1.308494e-04 0.000000e+00)
6.000000e+02	topWall	(-3.036273e-01 -1.288306e-04 0.000000e+00)	(-3.016329e-01 5.774483e-05 0.000000e+00)
7.000000e+02	bottomWall	(-3.037188e-01 -1.214041e-04 0.000000e+00)	(-3.016208e-01 1.308697e-04 0.000000e+00)
7.000000e+02	topWall	(-3.036696e-01 -1.288555e-04 0.000000e+00)	(-3.016601e-01 5.775810e-05 0.000000e+00)
8.000000e+02	bottomWall	(-3.037378e-01 -1.214181e-04 0.000000e+00)	(-3.016322e-01 1.308795e-04 0.000000e+00)
8.000000e+02	topWall	(-3.036885e-01 -1.288656e-04 0.000000e+00)	(-3.016720e-01 5.776129e-05 0.000000e+00)
9.000000e+02	bottomWall	(-3.037466e-01 -1.214225e-04 0.000000e+00)	(-3.016376e-01 1.308840e-04 0.000000e+00)
9.000000e+02	topWall	(-3.036967e-01 -1.288695e-04 0.000000e+00)	(-3.016772e-01 5.776335e-05 0.000000e+00)
1.000000e+03	bottomWall	(-3.037507e-01 -1.214241e-04 0.000000e+00)	(-3.016401e-01 1.308859e-04 0.000000e+00)
1.000000e+03	topWall	(-3.037004e-01 -1.288710e-04 0.000000e+00)	(-3.016794e-01 5.776423e-05 0.000000e+00)
