# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bottomWall	1.341641e+00	1.341641e+00	1.341641e+00
0             	topWall	1.341641e+00	1.341641e+00	1.341641e+00
100           	bottomWall	1.076333e+01	1.077406e+01	1.076999e+01
100           	topWall	1.073982e+01	1.075109e+01	1.074669e+01
200           	bottomWall	1.116694e+01	1.145152e+01	1.142675e+01
200           	topWall	1.111225e+01	1.123870e+01	1.111737e+01
300           	bottomWall	1.113796e+01	1.164632e+01	1.131717e+01
300           	topWall	1.116817e+01	1.152970e+01	1.152051e+01
400           	bottomWall	1.110185e+01	1.156725e+01	1.119236e+01
400           	topWall	1.110206e+01	1.156316e+01	1.116934e+01
500           	bottomWall	1.110662e+01	1.157295e+01	1.119722e+01
500           	topWall	1.110815e+01	1.157009e+01	1.117551e+01
600           	bottomWall	1.110801e+01	1.157451e+01	1.119864e+01
600           	topWall	1.111000e+01	1.157211e+01	1.117730e+01
700           	bottomWall	1.110868e+01	1.157523e+01	1.119932e+01
700           	topWall	1.111076e+01	1.157291e+01	1.117805e+01
800           	bottomWall	1.110900e+01	1.157557e+01	1.119964e+01
800           	topWall	1.111109e+01	1.157325e+01	1.117837e+01
900           	bottomWall	1.110916e+01	1.157572e+01	1.119979e+01
900           	topWall	1.111124e+01	1.157340e+01	1.117852e+01
1000          	bottomWall	1.110923e+01	1.157579e+01	1.119986e+01
1000          	topWall	1.111130e+01	1.157346e+01	1.117858e+01
