name,x_m,value,units,source
skin_friction_coefficient,1.307896e-03,1.287606e-02,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.990158e-03,1.000997e-02,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.808738e-03,8.307761e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.770564e-03,7.187994e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.288292e-02,6.463295e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.615345e-02,5.992936e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.959019e-02,5.672490e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.320160e-02,5.437289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.699655e-02,5.240623e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.098436e-02,4.984289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.517485e-02,4.771089e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.957830e-02,4.621089e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.420555e-02,4.506867e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.906796e-02,4.409489e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.417750e-02,4.322600e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.954671e-02,4.243756e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.518879e-02,4.171267e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.111762e-02,4.104067e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.734777e-02,4.041200e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.389454e-02,3.982067e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.077404e-02,3.926267e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.800316e-02,3.873311e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.055997e-01,3.822911e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.135823e-01,3.774756e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.219706e-01,3.728600e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.307852e-01,3.684289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.400478e-01,3.641644e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.497811e-01,3.600556e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.600091e-01,3.560822e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.707569e-01,3.522378e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.820509e-01,3.485089e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.939189e-01,3.448889e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.060811e-01,3.414489e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.182432e-01,3.382333e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.304054e-01,3.352267e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.425676e-01,3.324044e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.547297e-01,3.297533e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.668919e-01,3.272533e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.790541e-01,3.248889e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,2.912162e-01,3.226444e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.033784e-01,3.205022e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.155405e-01,3.184622e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.277027e-01,3.165200e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.398649e-01,3.146667e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.520270e-01,3.128933e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.641892e-01,3.111933e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.763514e-01,3.095644e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,3.885135e-01,3.080000e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.006757e-01,3.064933e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.128378e-01,3.050444e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.250000e-01,3.036467e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.371622e-01,3.022956e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.493243e-01,3.009933e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.614865e-01,2.997311e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.736486e-01,2.985111e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.858108e-01,2.973289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,4.979730e-01,2.961822e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.101351e-01,2.950711e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.222973e-01,2.939911e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.344595e-01,2.929400e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.466216e-01,2.919200e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.587838e-01,2.909267e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.709459e-01,2.899600e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.831081e-01,2.890178e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,5.952703e-01,2.881000e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.074324e-01,2.872067e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.195946e-01,2.863333e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.317568e-01,2.854800e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.439189e-01,2.846489e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.560811e-01,2.838356e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.682432e-01,2.830400e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.804054e-01,2.822622e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,6.925676e-01,2.815022e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.047297e-01,2.807578e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.168919e-01,2.800289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.290541e-01,2.793156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.412162e-01,2.786178e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.533784e-01,2.779333e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.655405e-01,2.772622e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.777027e-01,2.766044e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,7.898649e-01,2.759578e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.020270e-01,2.753244e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.141892e-01,2.747022e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.263514e-01,2.740911e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.385135e-01,2.734756e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.506757e-01,2.728467e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.628378e-01,2.722289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.750000e-01,2.716222e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.871622e-01,2.710267e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,8.993243e-01,2.704422e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.114865e-01,2.698689e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.236486e-01,2.693044e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.358108e-01,2.687489e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.479730e-01,2.682044e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.601351e-01,2.676689e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.722973e-01,2.671400e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.844595e-01,2.666200e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,9.966216e-01,2.661089e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.008784e+00,2.656044e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.020946e+00,2.651089e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.033108e+00,2.646200e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.045270e+00,2.641400e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.057432e+00,2.636667e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.069595e+00,2.632000e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.081757e+00,2.627378e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.093919e+00,2.622844e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.106081e+00,2.618378e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.118243e+00,2.613978e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.130405e+00,2.609622e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.142568e+00,2.605333e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.154730e+00,2.601111e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.166892e+00,2.596956e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.179054e+00,2.592822e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.191216e+00,2.588778e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.203378e+00,2.584756e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.215541e+00,2.580800e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.227703e+00,2.576911e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.239865e+00,2.573044e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.252027e+00,2.569267e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.264189e+00,2.565511e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.276351e+00,2.561800e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.288514e+00,2.558156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.300676e+00,2.554533e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.312838e+00,2.550956e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.325000e+00,2.547444e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.337162e+00,2.543956e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.349324e+00,2.540511e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.361486e+00,2.537111e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.373649e+00,2.533778e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.385811e+00,2.530444e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.397973e+00,2.527178e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.410135e+00,2.523933e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.422297e+00,2.520756e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.434459e+00,2.517578e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.446622e+00,2.514444e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.458784e+00,2.511356e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.470946e+00,2.508311e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.483108e+00,2.505289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.495270e+00,2.502289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.507432e+00,2.499333e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.519595e+00,2.496422e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.531757e+00,2.493533e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.543919e+00,2.490689e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.556081e+00,2.487844e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.568243e+00,2.485067e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.580405e+00,2.482289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.592568e+00,2.479556e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.604730e+00,2.476822e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.616892e+00,2.474156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.629054e+00,2.471489e-03,dimensionless,openfoam_wallShearStress
