name,x_m,Cf_run,Cf_ref,abs_error,rel_error,within_tolerance
skin_friction_coefficient,1.288292e-02,6.435651e-03,5.308749e-03,1.126902e-03,2.122725e-01,false
skin_friction_coefficient,1.615345e-02,5.964602e-03,5.169782e-03,7.948204e-04,1.537435e-01,false
skin_friction_coefficient,1.959019e-02,5.644845e-03,5.022240e-03,6.226051e-04,1.239696e-01,false
skin_friction_coefficient,2.320160e-02,5.409956e-03,4.885221e-03,5.247348e-04,1.074127e-01,false
skin_friction_coefficient,2.699655e-02,5.210111e-03,4.763038e-03,4.470730e-04,9.386299e-02,true
skin_friction_coefficient,3.098436e-02,4.945289e-03,4.654213e-03,2.910761e-04,6.254036e-02,true
skin_friction_coefficient,3.517485e-02,4.737533e-03,4.556557e-03,1.809760e-04,3.971770e-02,true
skin_friction_coefficient,3.957830e-02,4.593333e-03,4.467986e-03,1.253474e-04,2.805456e-02,true
skin_friction_coefficient,4.420555e-02,4.482000e-03,4.386925e-03,9.507509e-05,2.167238e-02,true
skin_friction_coefficient,4.906796e-02,4.386067e-03,4.312136e-03,7.393033e-05,1.714471e-02,true
skin_friction_coefficient,5.417750e-02,4.300133e-03,4.241958e-03,5.817576e-05,1.371437e-02,true
skin_friction_coefficient,5.954671e-02,4.222022e-03,4.175363e-03,4.665935e-05,1.117492e-02,true
skin_friction_coefficient,6.518879e-02,4.150044e-03,4.112362e-03,3.768252e-05,9.163231e-03,true
skin_friction_coefficient,7.111762e-02,4.083267e-03,4.052635e-03,3.063164e-05,7.558450e-03,true
skin_friction_coefficient,7.734777e-02,4.020778e-03,3.995840e-03,2.493813e-05,6.241024e-03,true
skin_friction_coefficient,8.389454e-02,3.961956e-03,3.941768e-03,2.018784e-05,5.121520e-03,true
skin_friction_coefficient,9.077404e-02,3.906422e-03,3.890138e-03,1.628457e-05,4.186117e-03,true
skin_friction_coefficient,9.800316e-02,3.853689e-03,3.840752e-03,1.293653e-05,3.368227e-03,true
skin_friction_coefficient,1.055997e-01,3.803533e-03,3.793368e-03,1.016579e-05,2.679884e-03,true
skin_friction_coefficient,1.135823e-01,3.755556e-03,3.747836e-03,7.719193e-06,2.059640e-03,true
skin_friction_coefficient,1.219706e-01,3.709578e-03,3.704026e-03,5.551697e-06,1.498828e-03,true
skin_friction_coefficient,1.307852e-01,3.665444e-03,3.661785e-03,3.659430e-06,9.993569e-04,true
skin_friction_coefficient,1.400478e-01,3.622933e-03,3.620997e-03,1.936624e-06,5.348319e-04,true
skin_friction_coefficient,1.497811e-01,3.581956e-03,3.581501e-03,4.550253e-07,1.270488e-04,true
skin_friction_coefficient,1.600091e-01,3.542356e-03,3.543254e-03,8.982050e-07,2.534972e-04,true
skin_friction_coefficient,1.707569e-01,3.504044e-03,3.506173e-03,2.128137e-06,6.069687e-04,true
skin_friction_coefficient,1.820509e-01,3.466867e-03,3.470177e-03,3.310818e-06,9.540776e-04,true
skin_friction_coefficient,1.939189e-01,3.430800e-03,3.435194e-03,4.393971e-06,1.279104e-03,true
skin_friction_coefficient,2.060811e-01,3.396533e-03,3.401949e-03,5.415212e-06,1.591797e-03,true
skin_friction_coefficient,2.182432e-01,3.364489e-03,3.371006e-03,6.517198e-06,1.933310e-03,true
skin_friction_coefficient,2.304054e-01,3.334533e-03,3.342109e-03,7.575677e-06,2.266736e-03,true
skin_friction_coefficient,2.425676e-01,3.306444e-03,3.315032e-03,8.587166e-06,2.590372e-03,true
skin_friction_coefficient,2.547297e-01,3.280022e-03,3.289568e-03,9.545939e-06,2.901882e-03,true
