iter,Ux,Uy,k,omega,p
1,1.000000e+00,0.000000e+00,1.000000e+00,3.792270e-02,1.000000e+00
2,9.307060e-03,2.083010e-01,1.740690e-01,1.875280e-02,7.998350e-03
3,3.721350e-03,1.300980e-01,9.958040e-02,1.193300e-02,8.297340e-03
4,2.165830e-03,8.129270e-02,6.390690e-02,8.195490e-03,8.811080e-03
5,1.405090e-03,5.833260e-02,4.062310e-02,6.480420e-03,1.108860e-02
6,1.017120e-03,4.576750e-02,3.030580e-02,5.054370e-03,1.276590e-02
7,8.229930e-04,3.684280e-02,2.451900e-02,4.162890e-03,1.226400e-02
8,7.029800e-04,3.189380e-02,2.154910e-02,3.442120e-03,1.175080e-02
9,6.071330e-04,2.799700e-02,1.975870e-02,2.925310e-03,1.166030e-02
10,5.280380e-04,2.444880e-02,1.856660e-02,2.511800e-03,1.183590e-02
11,4.653530e-04,2.085910e-02,1.761950e-02,2.186070e-03,1.190290e-02
12,4.177800e-04,1.804590e-02,1.670720e-02,1.927470e-03,1.177810e-02
13,3.892670e-04,1.656710e-02,1.568430e-02,1.727090e-03,1.157090e-02
14,3.944240e-04,1.569110e-02,1.457010e-02,1.583940e-03,1.140690e-02
15,4.256830e-04,1.458670e-02,1.320110e-02,1.567750e-03,1.158760e-02
16,4.726490e-04,1.377660e-02,1.170570e-02,1.561700e-03,1.167220e-02
17,5.267980e-04,1.355960e-02,1.002060e-02,1.568750e-03,1.154100e-02
18,5.596970e-04,1.423560e-02,8.341410e-03,1.454680e-03,1.091370e-02
19,5.696180e-04,1.477940e-02,6.727930e-03,1.341380e-03,1.010430e-02
20,5.557580e-04,1.497750e-02,5.465040e-03,1.168860e-03,9.291620e-03
21,5.441070e-04,1.491070e-02,4.638820e-03,1.060570e-03,8.551300e-03
22,5.337670e-04,1.471310e-02,4.041930e-03,9.654240e-04,7.941910e-03
23,5.250800e-04,1.447330e-02,3.572530e-03,8.796820e-04,7.386510e-03
24,5.170560e-04,1.421100e-02,3.213950e-03,8.069450e-04,6.898870e-03
25,5.135160e-04,1.394280e-02,2.903760e-03,7.484980e-04,6.520380e-03
26,5.091960e-04,1.368670e-02,2.639700e-03,6.900100e-04,6.188590e-03
