x_m,Cf
0.000000000e+00,1.189654600e-02
1.000000047e-03,1.512903813e-02
2.001968445e-03,5.801811349e-03
3.005924402e-03,4.927509464e-03
4.011887591e-03,4.548759665e-03
5.019877572e-03,4.505935125e-03
6.029913668e-03,4.705703352e-03
7.042016368e-03,4.985354841e-03
8.056204766e-03,5.210507195e-03
9.072500281e-03,5.333742127e-03
1.009092201e-02,5.373900291e-03
1.111149136e-02,5.366407335e-03
1.213422790e-02,5.336947273e-03
1.315915212e-02,5.298344884e-03
1.418628637e-02,5.255735945e-03
1.521565020e-02,5.211130250e-03
1.624726504e-02,5.165645387e-03
1.728115417e-02,5.120154936e-03
1.831733435e-02,5.075344816e-03
1.935583353e-02,5.031720735e-03
2.039666846e-02,4.989616573e-03
2.143986151e-02,4.949200898e-03
2.248543687e-02,4.910509102e-03
2.353341691e-02,4.873504862e-03
2.458382212e-02,4.838126712e-03
2.563667670e-02,4.804305267e-03
2.669200115e-02,4.771955777e-03
2.774982154e-02,4.740981851e-03
2.881015837e-02,4.711283371e-03
2.987303585e-02,4.682764411e-03
3.093848005e-02,4.655346274e-03
3.200650960e-02,4.628964234e-03
3.307715058e-02,4.603556823e-03
3.415042907e-02,4.579063505e-03
3.522636741e-02,4.555425607e-03
3.630498797e-02,4.532588646e-03
3.738632053e-02,4.510500003e-03
3.847038746e-02,4.489109851e-03
3.955721110e-02,4.468375351e-03
4.064681754e-02,4.448262975e-03
4.173923656e-02,4.428742919e-03
4.283448681e-02,4.409786779e-03
4.393260181e-02,4.391365685e-03
4.503360018e-02,4.373453092e-03
4.613751546e-02,4.356021993e-03
4.724436626e-02,4.339047708e-03
4.835418612e-02,4.322500434e-03
4.946699739e-02,4.306342453e-03
5.058282986e-02,4.290534649e-03
5.170170963e-02,4.275042564e-03
5.282366648e-02,4.259841982e-03
5.394872278e-02,4.244925454e-03
5.507691577e-02,4.230289720e-03
5.620826408e-02,4.215931520e-03
5.734280124e-02,4.201846663e-03
5.848055333e-02,4.188029561e-03
5.962155387e-02,4.174473695e-03
6.076582894e-02,4.161172081e-03
6.191340834e-02,4.148117267e-03
6.306432188e-02,4.135302268e-03
6.421860307e-02,4.122719169e-03
6.537627429e-02,4.110360518e-03
6.653737277e-02,4.098218866e-03
6.770192832e-02,4.086287227e-03
6.886997819e-02,4.074559081e-03
7.004153728e-02,4.063026048e-03
7.121665031e-02,4.051678814e-03
7.239534706e-02,4.040511791e-03
7.357765734e-02,4.029521253e-03
7.476361841e-02,4.018703941e-03
7.595326006e-02,4.008056596e-03
7.714661211e-02,3.997574095e-03
7.834371924e-02,3.987252247e-03
7.954459637e-02,3.977086395e-03
8.074929565e-02,3.967071883e-03
8.195784688e-02,3.957203589e-03
8.317027986e-02,3.947477322e-03
8.438663185e-02,3.937888425e-03
8.560694009e-02,3.928433638e-03
8.683124185e-02,3.919109236e-03
8.805956692e-02,3.909911960e-03
8.929195255e-02,3.900838783e-03
9.052844346e-02,3.891886445e-03
9.176907688e-02,3.883052384e-03
9.301388264e-02,3.874333110e-03
9.426289797e-02,3.865725361e-03
9.551616758e-02,3.857226344e-03
9.677372128e-02,3.848832101e-03
9.803561121e-02,3.840539139e-03
9.930186719e-02,3.832342336e-03
1.005725339e-01,3.824240994e-03
1.018476486e-01,3.816234414e-03
1.031272486e-01,3.808320733e-03
1.044113860e-01,3.800498322e-03
1.057000905e-01,3.792765085e-03
1.069934070e-01,3.785118461e-03
1.082913801e-01,3.777557053e-03
1.095940545e-01,3.770077834e-03
1.109014750e-01,3.762678942e-03
1.122136712e-01,3.755359212e-03
1.135307029e-01,3.748116083e-03
1.148526073e-01,3.740948625e-03
1.161794290e-01,3.733855672e-03
1.175112203e-01,3.726834431e-03
1.188480183e-01,3.719884204e-03
